x,y,species cloglog values
1.0,1.0,3.0963122E-7
2.0,2.0,6.2738286E-7
3.0,3.0,0.0037510216
4.0,4.0,0.3867933
5.0,5.0,2.9113582E-5
6.0,6.0,9.894813E-5
7.0,7.0,0.026840713
8.0,8.0,0.17569594
9.0,9.0,0.16312458
10.0,10.0,1.3203208E-5
11.0,11.0,2.0134413E-4
12.0,12.0,0.001487416
13.0,13.0,0.15957412
14.0,14.0,0.0034198812
15.0,15.0,3.4104323E-4
16.0,16.0,0.16764724
17.0,17.0,0.0011313817
18.0,18.0,0.39008534
19.0,19.0,3.6985474E-4
20.0,20.0,1.7345585E-4
21.0,21.0,2.8807068E-10
22.0,22.0,3.2441618E-5
23.0,23.0,0.03412999
24.0,24.0,0.12635271
25.0,25.0,0.30655578
26.0,26.0,3.6652001E-9
27.0,27.0,4.7257403E-4
28.0,28.0,6.961739E-5
29.0,29.0,0.0067028967
30.0,30.0,0.46660706
31.0,31.0,0.0075509325
32.0,32.0,0.037482
33.0,33.0,0.054711524
34.0,34.0,0.81262815
35.0,35.0,0.16930473
36.0,36.0,0.041593168
37.0,37.0,0.0051027755
38.0,38.0,0.0053284974
39.0,39.0,0.01871331
40.0,40.0,0.14027312
41.0,41.0,1.3155273E-4
42.0,42.0,0.01869599
43.0,43.0,2.6235566E-4
44.0,44.0,3.5217925E-4
45.0,45.0,1.4733853E-7
46.0,46.0,0.004019238
47.0,47.0,0.011307158
48.0,48.0,8.898053E-6
49.0,49.0,0.24664089
50.0,50.0,0.83133405
51.0,51.0,5.5764767E-4
52.0,52.0,0.0105425995
53.0,53.0,2.09391E-5
54.0,54.0,0.011299241
55.0,55.0,0.002770514
56.0,56.0,0.44843322
57.0,57.0,0.19324711
58.0,58.0,0.004141679
59.0,59.0,0.316871
60.0,60.0,0.025418058
61.0,61.0,0.017776152
62.0,62.0,7.8342084E-5
63.0,63.0,0.8271031
64.0,64.0,0.048638027
65.0,65.0,7.3474584E-5
66.0,66.0,1.0237222E-9
67.0,67.0,0.043803003
68.0,68.0,0.036221273
69.0,69.0,0.007746769
70.0,70.0,0.98894805
71.0,71.0,0.02866076
72.0,72.0,0.07851648
73.0,73.0,0.057781838
74.0,74.0,0.03081103
75.0,75.0,0.13435724
76.0,76.0,0.006215674
77.0,77.0,0.063751936
78.0,78.0,0.38047573
79.0,79.0,0.105670065
80.0,80.0,0.020655697
81.0,81.0,0.12360172
82.0,82.0,0.9525203
83.0,83.0,0.4084375
84.0,84.0,0.007646861
85.0,85.0,0.0028298802
86.0,86.0,0.047632974
87.0,87.0,0.00476025
88.0,88.0,1.8904162E-4
89.0,89.0,0.04670616
90.0,90.0,2.7840728E-5
91.0,91.0,8.2837977E-4
92.0,92.0,0.008936615
