Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.43183E-13,0.000000001,0.000000001,0.98862389,0,0
1.57516E-12,0.000000003,0.000000003,0.987127033,0,0
4.511E-12,0.00000001,0.000000007,0.984632272,0,0
1.09279E-11,0.000000026,0.000000018,0.982636463,0,0
3.74802E-11,0.000000101,0.000000062,0.979044008,0,0
6.4477E-11,0.00000025,0.000000107,0.976050294,0,0
1.96459E-10,0.000001015,0.000000327,0.970062868,0,0
3.94111E-10,0.000002517,0.000000655,0.964973556,0,0
1.17325E-9,0.00001004,0.00000195,0.95459535,0,0
2.43347E-9,0.000025082,0.000004044,0.946013372,0,0
4.09389E-9,0.000050172,0.000006804,0.938429298,0,0
6.40349E-9,0.000100391,0.000010642,0.928550045,0,0
1.24766E-8,0.000250576,0.000020736,0.912184413,0,0
1.94075E-8,0.000500102,0.000032254,0.896716895,0,0
3.09038E-8,0.001001004,0.00005136,0.876659016,0,0
6.48481E-8,0.002504386,0.000107771,0.843827961,0,0
1.03805E-7,0.005002343,0.000172507,0.81409041,0,0
1.8466E-7,0.010009489,0.000306854,0.778465223,0,0
4.02255E-7,0.025006316,0.000668318,0.724977547,0,0
7.64941E-7,0.050028482,0.001270511,0.680670592,0,0
1.42691E-6,0.10000205,0.002368692,0.633469714,0,0.125
2.66861E-6,0.200024834,0.004425364,0.583275122,0,0.125
3.85634E-6,0.300073119,0.006388676,0.552140505,0,0.125
4.96684E-6,0.400383881,0.008220814,0.529488075,0,0.125
5.98825E-6,0.500481868,0.009902997,0.511226425,0,0.125
6.96375E-6,0.600199573,0.011506908,0.495758906,0,0.125
7.79486E-6,0.70054948,0.012871363,0.482187406,0,0.125
8.25093E-6,0.750150356,0.013619298,0.476000399,0,0.125
8.69648E-6,0.800867576,0.014349437,0.470012973,0,0.125
9.64816E-6,0.900432477,0.015907194,0.459135815,0,0.125
1.06277E-5,1.001019242,0.017508032,0.449256561,0,0.125
1.14451E-5,1.100647025,0.018841853,0.440275422,0,0.125
1.24672E-5,1.201221546,0.02050701,0.431893025,0,0.125
1.33111E-5,1.300397954,0.021879968,0.424209161,0,0.125
1.40106E-5,1.400101699,0.023016359,0.416924459,0,0.125
1.49272E-5,1.500246723,0.024503559,0.410038918,0,0.125
1.69535E-5,1.75120631,0.027783166,0.394371819,0,0.125
1.87804E-5,2.001280133,0.030730654,0.380401158,0,0.125
2.04255E-5,2.251475672,0.033377152,0.367627981,0,0.125
2.24324E-5,2.501629171,0.036595789,0.3559525,0,0.125
2.42981E-5,2.752137368,0.03957854,0.345274923,0,0.125
2.62161E-5,3.002304083,0.042635091,0.335395669,0,0.125
2.82501E-5,3.250116623,0.04586607,0.326314739,0,0.125
2.98559E-5,3.502922141,0.048409004,0.317632971,0,0.125
3.17841E-5,3.752253573,0.051453652,0.309549945,0,0.125
3.3764E-5,4.001193784,0.054569667,0.301965872,0,0.125
3.51352E-5,4.252641513,0.056721917,0.29468117,0,0.125
3.70688E-5,4.501047886,0.059748353,0.287795629,0,0.125
3.86517E-5,4.751088877,0.062218561,0.28120946,0,0.125
4.00493E-5,5.003124678,0.064394316,0.274822872,0,0.125
4.21299E-5,5.253619798,0.067624065,0.268735655,0,0.125
4.4552E-5,5.500223214,0.07136967,0.2630476,0,0.125
4.63835E-5,5.75017551,0.074192068,0.257559126,0,0.125
4.80957E-5,6.000162381,0.076822911,0.252270233,0,0.125
5.01969E-5,6.255010539,0.080041151,0.24708113,0,0.125
5.19833E-5,6.500332483,0.082768459,0.242291189,0,0.125
5.39404E-5,6.754372083,0.08574697,0.237501247,0,0.125
5.54355E-5,7.000119165,0.088015986,0.233010678,0.047619048,0.125
5.80803E-5,7.255656592,0.092015894,0.228520108,0.047619048,0.125
6.00161E-5,7.503684691,0.094932497,0.224328909,0.047619048,0.125
6.26065E-5,7.75495386,0.098820507,0.220237501,0.047619048,0.125
6.54728E-5,8.005914127,0.10310332,0.216345674,0.047619048,0.125
6.79073E-5,8.252496448,0.106724978,0.212653428,0.047619048,0.125
6.9835E-5,8.500579239,0.10958219,0.209060972,0.047619048,0.125
7.21315E-5,8.75661859,0.112974275,0.205468516,0.047619048,0.125
7.38441E-5,9.004730834,0.115495345,0.202075641,0.047619048,0.125
7.61151E-5,9.252738066,0.118827527,0.198782557,0.047619048,0.125
7.83036E-5,9.507714059,0.122026802,0.195489472,0.047619048,0.125
8.10754E-5,9.755128553,0.12606203,0.192395968,0.047619048,0.125
8.29948E-5,10.000912966,0.128845463,0.189402255,0.047619048,0.125
8.51632E-5,10.253377116,0.131979261,0.186408542,0.047619048,0.25
8.71493E-5,10.503189476,0.13483984,0.183514619,0.047619048,0.25
8.91809E-5,10.750377636,0.137755982,0.180720487,0.095238095,0.25
9.1137E-5,11.002619471,0.140554667,0.177926355,0.095238095,0.25
9.31876E-5,11.251728229,0.143478712,0.175232013,0.095238095,0.25
9.56242E-5,11.50592653,0.146940224,0.172537671,0.095238095,0.25
9.83472E-5,11.75920478,0.150792151,0.169943119,0.095238095,0.25
1.00922E-4,12.007963317,0.154417699,0.167448358,0.095238095,0.25
1.03206E-4,12.252770846,0.157621525,0.165053388,0.095238095,0.25
1.06238E-4,12.504600464,0.161856564,0.162658417,0.095238095,0.25
1.10756E-4,12.754388084,0.168125493,0.160363237,0.095238095,0.25
1.12383E-4,13.000318081,0.170372597,0.158167848,0.095238095,0.25
1.16231E-4,13.251561947,0.175660868,0.155972458,0.095238095,0.25
1.18534E-4,13.509210666,0.178810416,0.153777068,0.095238095,0.25
1.20848E-4,13.760919089,0.181962997,0.151681469,0.095238095,0.25
1.23637E-4,14.005422545,0.1857451,0.14968566,0.142857143,0.25
1.25743E-4,14.255090737,0.188590079,0.147689851,0.142857143,0.25
1.28857E-4,14.509407707,0.192779781,0.145694043,0.142857143,0.25
1.32128E-4,14.757291444,0.197155583,0.143798024,0.142857143,0.25
1.36476E-4,15.013031055,0.202936059,0.141902006,0.142857143,0.25
1.40882E-4,15.263083475,0.208751941,0.140105778,0.142857143,0.25
1.43172E-4,15.504872778,0.211757037,0.13840934,0.142857143,0.25
1.45655E-4,15.750605581,0.215002809,0.136712903,0.142857143,0.25
1.47888E-4,16.000508275,0.217911615,0.135016465,0.142857143,0.25
1.51147E-4,16.255007138,0.22213578,0.133320028,0.142857143,0.25
1.551E-4,16.500768786,0.227229923,0.131723381,0.142857143,0.25
1.5938E-4,16.751983339,0.232706516,0.130126734,0.142857143,0.25
1.62601E-4,17.00982409,0.236804174,0.128530087,0.142857143,0.25
1.64841E-4,17.255528552,0.239639315,0.12703323,0.142857143,0.25
1.67372E-4,17.504874688,0.242830943,0.125536374,0.142857143,0.25
1.71017E-4,17.758777026,0.247403754,0.124039517,0.142857143,0.25
1.73579E-4,18.000185699,0.250601693,0.122642451,0.142857143,0.25
1.77281E-4,18.263236989,0.255199161,0.121145594,0.142857143,0.25
1.81308E-4,18.514522499,0.260167363,0.119748528,0.142857143,0.25
1.84327E-4,18.752261909,0.263869983,0.118451252,0.142857143,0.25
1.88725E-4,19.01355172,0.269230882,0.117054186,0.142857143,0.25
1.92833E-4,19.261386149,0.274202517,0.11575691,0.142857143,0.25
1.96382E-4,19.51408137,0.278471516,0.114459635,0.142857143,0.25
1.99418E-4,19.75133952,0.282103225,0.113262149,0.142857143,0.25
2.01969E-4,20.012130641,0.28514019,0.111964874,0.142857143,0.25
2.04113E-4,20.255729485,0.287682685,0.110767388,0.142857143,0.25
2.06439E-4,20.502066769,0.290431729,0.109569903,0.142857143,0.25
