X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,8.87191047651692E-5,10.694190239664799,0.13709402438420293
3.0,3.0,train,0.004695505677192125,92.80979288290818,0.9995918375695318
6.0,6.0,train,5.982893611323403E-4,45.81536997063749,0.6300347056082238
8.0,8.0,train,7.493882550539453E-4,52.51873127932862,0.7121943060541951
9.0,9.0,train,1.2266664375236327E-4,13.920354256689361,0.18443139902465744
10.0,10.0,train,6.924510283328893E-4,50.17673006254249,0.683629429587414
11.0,11.0,train,6.478716520974117E-4,48.01219498151487,0.6592993156963461
12.0,12.0,train,0.009646004358322443,100.0,0.9999998909527377
13.0,13.0,train,0.005474452154625076,94.33174224360424,0.9998881598881296
14.0,14.0,train,0.0013749631561208486,71.59921250702283,0.8982426122034868
15.0,15.0,train,0.0014037961805162525,72.34092991755928,0.9030038327382096
17.0,17.0,train,0.0011173338675519147,66.00402738201686,0.843857876876771
20.0,20.0,train,5.397522869608737E-5,6.760096817421332,0.085799944170591
21.0,21.0,train,0.0010233970944373881,61.65069025670477,0.8174748716994527
22.0,22.0,train,0.0010892487132648128,64.41962015174202,0.8363968536979125
24.0,24.0,train,0.006492087767182454,96.7783080910138,0.9999793899600945
25.0,25.0,train,6.100164265136197E-4,46.50440205553997,0.6371755776959918
26.0,26.0,train,3.93870519488852E-4,33.319789954075794,0.4803530634162494
27.0,27.0,train,8.108961821326322E-4,54.99609353776666,0.7401614391353686
28.0,28.0,train,0.007068926159288064,97.48521263337268,0.9999920982569352
29.0,29.0,train,0.0013283657703966466,70.55258648618305,0.8900489309826379
5.0,5.0,test,0.0011703183618659242,67.35585894492034,0.8570196270509044
4.0,4.0,test,9.99837403130814E-4,60.81684396864093,0.8101861921710439
1.0,1.0,test,2.2968891408270487E-4,22.11219920781647,0.3173266647083153
19.0,19.0,test,8.300849402608622E-5,10.002507344645977,0.12886525524735581
18.0,18.0,test,1.2222599576878177E-6,0.08455254586054525,0.002029312057673982
16.0,16.0,test,2.49002340506965E-4,23.557304041123512,0.3388915465551261
7.0,7.0,test,4.592110440442492E-4,37.83615696338287,0.5338279159298098
23.0,23.0,test,7.231430785403903E-4,51.85073083422283,0.6993626904883513
