type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	vntype	haslength
PhysicalObject	2014-09-08 15:19:21.0			http://vertnet.org/resources/norms.html	Moore Laboratory of Zoology. MLZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MLZ:Mamm:1055?seid=1340196. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mlz_mamm (source published on 2015-10-26)	http://arctos.database.museum/guid/MLZ:Mamm:1055	urn:lsid:biocol.org:col:35295			MLZ	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/MLZ:Mamm:1055?seid=1340196	1055	70-2	Collector(s): John C. Hafner	1	male						skin; skull						MLZ: Moore Laboratory of Zoology=NR; collector number=70-2	WT  169G	http://arctos.database.museum/guid/MLZ:Mamm:1055					<i>Urocitellus beldingi</i> (accepted ID) identified by Kayce C. Bell on 2013-10-30; method: taxonomic revision<br><i>Spermophilus beldingi</i> identified by John C. Hafner; method: legacy					1970-07-11		192	192	1970	07	11	11 JUL 1970								North America, United States, California, Nevada County	North America				United States		California	Nevada County		Hobart Mills	HOBART MILLS									unknown		39.40056	-120.18278	not recorded	3036									unknown	2012-07-08	GeoLocate	GeoLocate	unverified																					A		Kayce C. Bell	2013-10-30		taxonomic revision				Urocitellus beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi						ICZN						169	0		male		Moore Laboratory of Zoology. MLZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mlz_mamm (source published on 2015-10-26)	226b536c-25f9-4f6b-b144-edcbdffa3566	247b85e0-4e6b-46d1-b1c8-47b00bb8ced7	mccormack@oxy.edu	John McCormack	2015-10-26	2016-08-11	no migrator	0	0	0	0	specimen	0
PhysicalObject	2014-09-09 12:41:39.0			http://vertnet.org/resources/norms.html	Moore Laboratory of Zoology. MLZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MLZ:Mamm:1056?seid=1339996. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mlz_mamm (source published on 2015-10-26)	http://arctos.database.museum/guid/MLZ:Mamm:1056	urn:lsid:biocol.org:col:35295			MLZ	Mammal specimens		PreservedSpecimen			sex=female	http://arctos.database.museum/guid/MLZ:Mamm:1056?seid=1339996	1056	70-7	Collector(s): David J. Hafner	1	female						skin; skull						MLZ: Moore Laboratory of Zoology=NR; collector number=70-7		http://arctos.database.museum/guid/MLZ:Mamm:1056					<i>Urocitellus beldingi</i> (accepted ID) identified by Kayce C. Bell on 2013-10-30; method: taxonomic revision<br><i>Spermophilus beldingi</i> identified by David J. Hafner; method: legacy					1970-07-11		192	192	1970	07	11	11 JUL 1970								North America, United States, California, Nevada County	North America				United States		California	Nevada County		Sagehen Creek, 12 mi N Truckee	SAGEHEN CREEK: 12 MI N									unknown		39.445511	-120.186294	not recorded	3700									unknown	2012-07-08	GeoLocate	GeoLocate	unverified																					A		Kayce C. Bell	2013-10-30		taxonomic revision				Urocitellus beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi						ICZN									female		Moore Laboratory of Zoology. MLZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mlz_mamm (source published on 2015-10-26)	226b536c-25f9-4f6b-b144-edcbdffa3566	247b85e0-4e6b-46d1-b1c8-47b00bb8ced7	mccormack@oxy.edu	John McCormack	2015-10-26	2016-08-11	no migrator	0	0	0	0	specimen	0
PhysicalObject	2009-11-05 09:51:55.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:149697?seid=978888. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:149697	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/MVZ:Mamm:149697?seid=978888	149697	12	Collector(s): S. E. Thompson	1	male						skull; study skin						collector number=12		http://arctos.database.museum/guid/MVZ:Mamm:149697					<i>Urocitellus beldingi oregonus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi oregonus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1975-05-14		134	134	1975	05	14	14 May 1975								North America, United States, Oregon, Deschutes County	North America				United States		Oregon	Deschutes County		Thompson Ranch, 7 mi S Sisters	Thompson Ranch, 7 mi S Sisters									Gary W. Shugart		44.1897	-121.5481	North American Datum 1927	10106		44.1897/-121.5481			decimal degrees				Gary W. Shugart	2002-07-02	MaNIS georeferencing guidelines	GNIS downloaded Feb 2002	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi oregonus					Animalia Chordata Mammalia Rodentia Sciuridae Sciurinae  Merriam, 1898	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	oregonus					ICZN									male		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	0	0	0	specimen	0
PhysicalObject	2015-07-01 14:25:11.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:152140?seid=364463. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:152140	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/MVZ:Mamm:152140?seid=364463	152140	26	Collector(s): Paul W. Sherman, James T. Mascarello	1	male						skull; tissue (frozen); tissue (frozen); DNA (frozen); DNA (frozen); DNA (frozen); DNA (frozen); study skin						MVZ frozen tissue collection=FC-4271; collector number=26; second collector number=8399		http://arctos.database.museum/guid/MVZ:Mamm:152140					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-16		168	168	1976	06	16	16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow	3000	3000							Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									male		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	1	0	0	specimen	0
PhysicalObject	2016-04-07 12:35:30.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:154266?seid=1692488. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:154266	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			verbatim preservation date=Killed 17 Jun 1976 ; sex=female	http://arctos.database.museum/guid/MVZ:Mamm:154266?seid=1692488	154266	4	Collector(s): Paul W. Sherman	1	female						skull						MVZ frozen tissue collection=FC-4250; collector number=4		http://arctos.database.museum/guid/MVZ:Mamm:154266					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-14	1976-06-14/1976-06-16	166	166	1976	6	14	14-16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow									Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									female		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	0	0	0	specimen	0
PhysicalObject	2016-04-07 12:35:30.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:154267?seid=1563596. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:154267	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			verbatim preservation date=Killed 17 Jun 1976 ; sex=female	http://arctos.database.museum/guid/MVZ:Mamm:154267?seid=1563596	154267	5	Collector(s): Paul W. Sherman	1	female						skull						MVZ frozen tissue collection=FC-4251; collector number=5		http://arctos.database.museum/guid/MVZ:Mamm:154267					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-14	1976-06-14/1976-06-16	166	166	1976	6	14	14-16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow									Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									female		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	0	0	0	specimen	0
PhysicalObject	2016-04-07 12:35:30.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:154273?seid=184746. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:154273	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			verbatim preservation date=Killed 17 Jun 1976 ; sex=male	http://arctos.database.museum/guid/MVZ:Mamm:154273?seid=184746	154273	11	Collector(s): Paul W. Sherman	1	male						skull; tissue (frozen); DNA (frozen)						MVZ frozen tissue collection=FC-4257; collector number=11		http://arctos.database.museum/guid/MVZ:Mamm:154273					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-14	1976-06-14/1976-06-16	166	166	1976	6	14	14-16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow									Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									male		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	1	0	0	specimen	0
PhysicalObject	2016-04-07 12:35:30.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:154274?seid=156338. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:154274	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			verbatim preservation date=Killed 17 Jun 1976 ; sex=female	http://arctos.database.museum/guid/MVZ:Mamm:154274?seid=156338	154274	12	Collector(s): Paul W. Sherman	1	female						skull; tissue (frozen); DNA (frozen)						MVZ frozen tissue collection=FC-4258; collector number=12		http://arctos.database.museum/guid/MVZ:Mamm:154274					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-14	1976-06-14/1976-06-16	166	166	1976	6	14	14-16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow									Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									female		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	1	0	0	specimen	0
PhysicalObject	2016-04-07 12:35:30.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:154275?seid=1105645. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:154275	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			verbatim preservation date=Killed 17 Jun 1976 ; sex=male	http://arctos.database.museum/guid/MVZ:Mamm:154275?seid=1105645	154275	13	Collector(s): Paul W. Sherman	1	male						skull; tissue (frozen); DNA (frozen)						MVZ frozen tissue collection=FC-4259; collector number=13		http://arctos.database.museum/guid/MVZ:Mamm:154275					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-14	1976-06-14/1976-06-16	166	166	1976	6	14	14-16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow									Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									male		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	1	0	0	specimen	0
PhysicalObject	2016-04-07 12:35:30.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:154277?seid=1556542. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	http://arctos.database.museum/guid/MVZ:Mamm:154277	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			verbatim preservation date=Killed 17 Jun 1976 ; sex=female	http://arctos.database.museum/guid/MVZ:Mamm:154277?seid=1556542	154277	15	Collector(s): Paul W. Sherman	1	female						skull; tissue (frozen); tissue (frozen); DNA (frozen); DNA (frozen)						MVZ frozen tissue collection=FC-4261; collector number=15		http://arctos.database.museum/guid/MVZ:Mamm:154277					<i>Urocitellus beldingi beldingi</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.<br><i>Spermophilus beldingi beldingi</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy					1976-06-14	1976-06-14/1976-06-16	166	166	1976	6	14	14-16 Jun 1976								North America, United States, California, Mono County	North America				United States		California	Mono County		Tioga Pass Meadow	Tioga Pass Meadow									Matt Krebs		37.910467	-119.254145	North American Datum 1927	403		37.910467/-119.254145			decimal degrees				Matt Krebs	2001-03-19	not recorded	TopoScout 2.04 USGS 1:24000	unverified																					A		James L. Patton	2009-10-29		taxonomic revision	following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus. Journal of Mammalogy 90:270-305.			Urocitellus beldingi beldingi					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Sciurinae;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		beldingi	beldingi					ICZN									female		Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	2015-10-27	2016-08-12	no migrator	0	1	0	0	specimen	0
