SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Urocitellus beldingi,-120.097959,38.906174,1902,315,1138,40,60406,1920.275024,-911.325012,2831.600098,-374,1135,1136,-374,144477.2188,26544.77539,805.424988,79,75535.64844,4580.850098,4853,75536
Urocitellus beldingi,-118.7,41.69,1909,215,1089,33,72160,2094.949951,-1127.150024,3222.100098,-527,1167,1181,-655,58008.875,7454.299805,815.049988,52,22111.59961,3781.875,4789,21935
Urocitellus beldingi,-120.310479,39.44296,1910,454,1519,45,61834,2365.350098,-957.224976,3322.575195,-240,1278,1278,-286,95996.29688,17803.19922,551.25,79,50243.14844,3215.824951,3216,49826
Urocitellus beldingi,-120.328223,41.799895,1910,524,1135,34,73094,2414.5,-915.974976,3330.475098,-375,1451,1521,-375,59566.42578,7386.675293,1193.650024,45,21642.94922,4983.049805,5924,21643
Urocitellus beldingi,-120.5446,41.4898,1910,844,1872,46,72451,3168.600098,-861.5,4030.100098,-74,1761,1804,-74,27449.22461,3375.425049,487.024994,41,9854.599609,2775.949951,3029,9855
Urocitellus beldingi,-120.344282,41.436398,1910,783,1511,41,72763,2908.925049,-761.325012,3670.25,-113,1736,1756,-113,43235.10156,5430.649902,872.724976,42,15098.6748,3884.574951,4896,15099
Urocitellus beldingi,-120.217821,41.41896,1910,264,1290,38,68877,2209.050049,-1099.299927,3308.350098,-556,1183,1195,-556,98930.04688,14729.125,1062.375,57,42089.125,5953.649902,6975,42089
Urocitellus beldingi,-119.937438,38.762803,1913,594,1380,42,64556,2467.274902,-748.574951,3215.849854,-117,1470,1470,-159,95022.55469,17486.67578,758.375,76,49576.27734,4034.725098,4035,48211
Urocitellus beldingi,-119.481064,37.815012,1915,457,1466,46,57372,2104.725098,-1021.875,3126.600098,-215,1240,1240,-215,120814.875,29239.15039,339.625,92,67981.27344,1663.75,1664,67981
Urocitellus beldingi,-119.529899,37.812021,1915,589,1505,47,57331,2254.425049,-908.324951,3162.75,-83,1366,1367,-83,125145.8203,30149.82422,291.049988,93,71537.375,1853.724976,2196,71537
Urocitellus beldingi,-119.29737,37.857211,1915,291,1889,52,58167,2224.875,-1361.525024,3586.399902,-362,1068,1068,-404,91647.39844,17971.72461,864.599976,76,48571.54688,4391.149902,4391,47152
Urocitellus beldingi,-119.256879,37.910952,1915,234,1443,45,58150,1935.900024,-1213.5,3149.399902,-407,1020,1033,-433,93990.89844,18825.69922,1103.474976,78,50155.875,5289.199707,5692,49746
Urocitellus beldingi,-119.21271,37.855455,1916,171,1083,37,62260,1691.724976,-1205.125,2896.850098,-496,1022,1029,-536,98539.07813,20121.84961,1518.525024,78,52797.57422,6011,6416,51397
Urocitellus beldingi,-121.995662,41.724656,1918,774,1666,45,69087,2872.800049,-781.075012,3653.875,-96,1664,1680,-96,33864.64844,4943.600098,722.025024,49,13664.7002,3061.25,3959,13665
Urocitellus beldingi,-122.151015,41.745484,1918,784,1313,39,69256,2718.949951,-575.474976,3294.424805,-66,1713,1713,-66,51808.125,7765.75,960.549988,48,20260.22461,4321.549805,4322,20260
Urocitellus beldingi,-122.208795,41.796892,1918,653,1214,39,65804,2518.125,-588.875,3107,-40,1553,1553,-131,66334.07813,9655.325195,1405.149902,51,26276.375,4866.899902,4867,25475
Urocitellus beldingi,-122.170552,41.646971,1918,845,1323,41,65649,2748.274902,-458.799988,3207.074951,127,1714,1714,46,45738.57422,6173.125,726.349976,47,17538.25,3686.349854,3686,17206
Urocitellus beldingi,-120.52072,40.664501,1918,813,1670,43,72231,2990.274902,-851.875,3842.149902,-99,1768,1768,-99,37020.17578,6970.075195,514.775024,71,18995.72461,2240.5,2241,18996
Urocitellus beldingi,-120.459361,40.865644,1918,680,1785,44,72108,2955.924805,-1022.75,3978.674805,-237,1595,1629,-237,24890.02539,3159.350098,442.450012,41,8807.550781,2418.375,3038,8808
Urocitellus beldingi,-120.684606,41.420479,1920,869,1758,44,72736,3127.125,-796.599976,3923.725098,-50,1796,1832,-50,31302.42578,4102,468.125,46,11818.4248,2789.774902,3061,11818
Urocitellus beldingi,-120.737271,41.474372,1920,865,1764,44,73515,3140.824951,-803.125,3943.949951,-59,1806,1837,-59,29828.125,3824.849854,411.200012,46,11024.2002,2576.949951,2936,11024
Urocitellus beldingi,-119.60917,41.63167,1920,735,1490,40,73901,2877.625,-818.974976,3696.600098,-171,1707,1732,-171,24432,2972.449951,577.625,38,8438.474609,2479.324951,3090,8438
Urocitellus beldingi,-120.2937,43.9753,1920,688,1704,45,67287,2877.225098,-839.174988,3716.400146,-68,1548,1582,-161,31555.94922,3889.225098,993.674988,33,11125.02539,4355.625,5303,10540
Urocitellus beldingi,-119.80778,38.767235,1921,911,1586,44,67232,2932.075195,-623.049988,3555.125244,88,1788,1817,88,53043.94922,10720.5752,733.549988,78,28521.42578,3179.550049,3250,28521
Urocitellus beldingi,-119.802226,38.791275,1921,951,1578,44,68137,2979.725098,-602.625,3582.350098,112,1831,1867,112,51900.82422,10555.34961,673.849976,78,28133.17578,3088.924805,3230,28133
Urocitellus beldingi,-119.794922,38.775711,1921,928,1611,44,67802,2970.625,-631.599976,3602.225098,93,1811,1839,93,50312.25,10238.84961,667.574951,78,27198.69922,3068.549805,3210,27199
Urocitellus beldingi,-119.7857,38.8287,1921,934,1813,47,68005,3066.899902,-725.5,3792.399902,91,1810,1845,91,37617,7757.125,534.125,77,20445.625,2356.524902,2491,20446
Urocitellus beldingi,-118.739175,37.630655,1922,764,1800,47,69306,2873.550049,-918.549988,3792.100098,-101,1628,1697,-101,37576.89844,6916.450195,865.5,71,19757.22461,3889.550049,4050,19757
Urocitellus beldingi,-117.8333,44.775,1922,800,1505,39,78487,2983.350098,-864.200012,3847.550049,-111,1764,1812,-231,27976.27539,3159.850098,1145.849976,29,8936.099609,4089.050049,5495,8886
Urocitellus beldingi,-117.48083,38.93389,1925,597,1908,45,74515,2905.899902,-1263.449951,4169.349609,506,1537,1610,-331,20247.125,2169.600098,1172.400024,17,6132.325195,4139.875,4673,5041
Urocitellus beldingi,-120.377881,41.451324,1926,846,1516,41,72506,2968.300049,-689.599976,3657.899902,74,1794,1813,-50,37950.55078,4752.25,785.349976,42,13440,3526.375,4241,13423
Urocitellus beldingi,-120.267567,41.334976,1926,483,1200,36,71442,2417.199951,-908.625,3325.824951,-381,1425,1444,-381,67026.04688,10457.7002,1122.275024,54,29396.77539,4893.549805,6078,29397
Urocitellus beldingi,-119.001593,37.602866,1927,504,1457,44,64819,2330,-970.475037,3300.475098,-256,1370,1377,-256,111938.2266,24698.52539,404.450012,97,68791.14844,2038.950073,2394,68791
Urocitellus beldingi,-118.6786,42.7608,1927,416,1291,37,70198,2445.024902,-964.75,3409.774902,-403,1367,1381,-403,65910.20313,8873.424805,940.675049,49,24651.65039,4392.100098,7482,24652
