SPECIES,LONG_WGS84,LAT_WGS84
Urocitellus beldingi,-120.097959,38.906174
Urocitellus beldingi,-118.7,41.69
Urocitellus beldingi,-120.310479,39.44296
Urocitellus beldingi,-120.328223,41.799895
Urocitellus beldingi,-120.5446,41.4898
Urocitellus beldingi,-120.344282,41.436398
Urocitellus beldingi,-120.217821,41.41896
Urocitellus beldingi,-119.937438,38.762803
Urocitellus beldingi,-119.481064,37.815012
Urocitellus beldingi,-119.529899,37.812021
Urocitellus beldingi,-119.29737,37.857211
Urocitellus beldingi,-119.256879,37.910952
Urocitellus beldingi,-119.21271,37.855455
Urocitellus beldingi,-121.995662,41.724656
Urocitellus beldingi,-122.151015,41.745484
Urocitellus beldingi,-122.208795,41.796892
Urocitellus beldingi,-122.170552,41.646971
Urocitellus beldingi,-120.52072,40.664501
Urocitellus beldingi,-120.459361,40.865644
Urocitellus beldingi,-120.684606,41.420479
Urocitellus beldingi,-120.737271,41.474372
Urocitellus beldingi,-119.60917,41.63167
Urocitellus beldingi,-120.2937,43.9753
Urocitellus beldingi,-119.80778,38.767235
Urocitellus beldingi,-119.802226,38.791275
Urocitellus beldingi,-119.794922,38.775711
Urocitellus beldingi,-119.7857,38.8287
Urocitellus beldingi,-118.739175,37.630655
Urocitellus beldingi,-117.8333,44.775
Urocitellus beldingi,-117.48083,38.93389
Urocitellus beldingi,-120.377881,41.451324
Urocitellus beldingi,-120.267567,41.334976
Urocitellus beldingi,-119.001593,37.602866
Urocitellus beldingi,-118.6786,42.7608
Urocitellus beldingi,-115.5,40.16
Urocitellus beldingi,-115.22,40.81
Urocitellus beldingi,-121.43186,40.33975
Urocitellus beldingi,-118.7481,37.1706
Urocitellus beldingi,-120.046124,38.36765
Urocitellus beldingi,-118.96647,37.126209
Urocitellus beldingi,-115.59,40.34
Urocitellus beldingi,-115.07,40.91
Urocitellus beldingi,-115.07,40.77
Urocitellus beldingi,-120.377779,39.818871
Urocitellus beldingi,-119.22669,38.255901
Urocitellus beldingi,-117.1625,39.25556
Urocitellus beldingi,-117.034396,39.395973
Urocitellus beldingi,-120.502493,41.23042
Urocitellus beldingi,-118.999614,37.630973
Urocitellus beldingi,-121.5833,44.0053
Urocitellus beldingi,-120.4269,44.3964
Urocitellus beldingi,-116.916578,38.666252
Urocitellus beldingi,-116.91917,38.69389
Urocitellus beldingi,-116.901178,38.677853
Urocitellus beldingi,-116.88243,38.69348
Urocitellus beldingi,-121.8453,43.6161
Urocitellus beldingi,-118.74535,37.436447
Urocitellus beldingi,-118.7565,37.408703
Urocitellus beldingi,-116.09871,41.94768
Urocitellus beldingi,-116.1094,42.1725
Urocitellus beldingi,-116.0819,42.1665
Urocitellus beldingi,-113.5219,42.3718
Urocitellus beldingi,-113.5772,42.3983
Urocitellus beldingi,-114.6323,42.2181
Urocitellus beldingi,-116.4534,43.1466
Urocitellus beldingi,-116.7535,43.2418
Urocitellus beldingi,-116.6671,43.3863
Urocitellus beldingi,-113.5606,42.2483
Urocitellus beldingi,-113.3683,42.2774
Urocitellus beldingi,-113.3417,42.1294
Urocitellus beldingi,-114.5543,42.2181
Urocitellus beldingi,-113.233,42.5778
Urocitellus beldingi,-114.23,41.96
Urocitellus beldingi,-114.5,41.9
Urocitellus beldingi,-116.04664,41.77714
Urocitellus beldingi,-119.945312,39.00466
Urocitellus beldingi,-115.4775,40.72806
Urocitellus beldingi,-117.16,39.59
Urocitellus beldingi,-116.9328,43.6178
Urocitellus beldingi,-117.57183,38.85144
Urocitellus beldingi,-118.6467,42.7372
Urocitellus beldingi,-121.513572,41.720553
Urocitellus beldingi,-119.33083,40.79889
Urocitellus beldingi,-119.98,41.99
Urocitellus beldingi,-116.28152,41.56791
Urocitellus beldingi,-118.3311,44.5781
Urocitellus beldingi,-118.569501,37.16509
Urocitellus beldingi,-119.636367,38.328895
Urocitellus beldingi,-120.9815,41.1932
Urocitellus beldingi,-122.9107,44.2042
Urocitellus beldingi,-120.4257,44.4709
Urocitellus beldingi,-117.9378,44.9117
Urocitellus beldingi,-119.33911,38.164119
Urocitellus beldingi,-120.6939,44.1008
Urocitellus beldingi,-120.299144,41.97664
