SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Urocitellus beldingi,-115.52944,40.06778,1970,776,1644,40,81038,3031.75,-989.106201,4020.856201,670,1862,1862,-231,32885.67969,3646.287598,1030.78125,30,10729.58789,4662.181152,4662,9141
Urocitellus beldingi,-113.72556,41.84889,1970,661,1483,36,86164,2898.40625,-1119.09375,4017.5,-402,1339,1809,-402,33528.71875,3849.0625,1827.900024,21,10043.2998,6064.84375,7173,10043
Urocitellus beldingi,-113.72556,41.85613,1970,669,1471,36,86620,2908.231201,-1096.237549,4004.46875,-400,1355,1825,-400,32927.54297,3645.318848,1819.806274,20,9742.275391,6061.84375,7166,9742
Urocitellus beldingi,-113.74389,41.87278,1970,664,1549,38,85453,2945.162598,-1123.925049,4069.087646,1001,1328,1804,-390,31704.24414,3845.381348,1727.900024,21,9417.887695,6059.681152,7079,8837
Urocitellus beldingi,-113.74389,41.88727,1970,669,1546,38,85388,2945.699951,-1114.175049,4059.875,1008,1332,1808,-382,31927.33789,3957.537598,1822.787476,21,9537.831055,6162.912598,7180,8832
Urocitellus beldingi,-118.850219,37.600635,1971,638,1632,46,66548,2605.425049,-937.168762,3542.59375,-162,1538,1538,-162,52333.18359,9624.056641,1191.400024,72,27063.44922,3920.375,3920,27063
Urocitellus beldingi,-120.253334,41.56209,1971,579,1387,39,71270,2609.050049,-874.825012,3483.875,-186,1517,1532,-278,74447.60938,9711.130859,905.368774,53,28073.05469,4489.268555,5440,26981
Urocitellus beldingi,-120.241749,41.56987,1971,544,1334,39,70514,2548.981201,-846.212524,3395.193848,-204,1480,1490,-293,77307.21094,10135.59961,910.381226,53,29089.14844,4716.762207,5680,27982
Urocitellus beldingi,-120.298142,41.978764,1971,816,1485,42,71161,2901.506348,-627.59375,3529.100098,19,1749,1767,-43,50444.15625,6805.081055,1152.993774,43,19297.46875,5262.206055,5891,17685
Urocitellus beldingi,-119.05,43.58,1971,760,1534,40,77977,2946.774902,-848.918762,3795.693604,-160,1739,1787,-225,27123.21875,3721.012451,1028.049927,38,10000.5127,3375.462402,3691,9440
Urocitellus beldingi,-121.12354,41.76184,1972,819,1552,42,71978,2963.850098,-674.456238,3638.306396,15,1759,1778,-54,36863.09375,4774.287598,825.862488,41,13028.10645,3568.40625,4230,11928
Urocitellus beldingi,-113.79,42.53,1972,903,1421,37,83037,3078.71875,-722.931274,3801.649902,862,1927,1997,-154,25299.53125,3188.75,835.306274,33,8162.46875,3365.024902,3810,7446
Urocitellus beldingi,-119.5276,45.3329,1973,951,1318,40,66936,2900.537598,-381.03125,3281.568848,861,1817,1845,126,36542.03125,4319.018555,876.256226,37,11952.875,3829.706299,5196,10455
Urocitellus beldingi,-119.5567,45.3533,1973,1010,1321,40,67281,2961.800049,-325.806244,3287.606201,930,1876,1909,179,35729.28906,4264.537598,803.618713,38,11749.16211,3589.90625,4867,10260
Urocitellus beldingi,-118.73,37.45,1973,287,1358,44,60575,1960.768799,-1100.706299,3061.475098,-408,1106,1106,-408,50516.98047,9168.681641,1109.737549,68,24367.21289,3481.962646,3482,24367
Urocitellus beldingi,-119.037669,38.232356,1979,359,1656,47,65301,2326.581299,-1148,3474.581299,-402,935,1233,-402,37211.60547,5501.25,1430.925049,48,15506.75,4769.96875,5129,15507
Urocitellus beldingi,-120.6947,42.2291,1979,751,1502,43,68518,2818.412598,-666.424988,3484.837646,-2,1658,1670,-65,44702.01953,6477.512695,1119.5,47,17615.78711,4223.8125,4646,17038
Urocitellus beldingi,-121.0572,43.4947,1982,640,1807,48,65251,2863.949951,-884.087524,3748.037598,-109,1482,1522,-147,29865.68164,4189.893555,1413.53125,38,11499.15625,4486.762695,4748,10426
