SPECIES,LONG_WGS84,LAT_WGS84
Urocitellus beldingi,-115.52944,40.06778
Urocitellus beldingi,-113.72556,41.84889
Urocitellus beldingi,-113.72556,41.85613
Urocitellus beldingi,-113.74389,41.87278
Urocitellus beldingi,-113.74389,41.88727
Urocitellus beldingi,-118.850219,37.600635
Urocitellus beldingi,-120.253334,41.56209
Urocitellus beldingi,-120.241749,41.56987
Urocitellus beldingi,-120.298142,41.978764
Urocitellus beldingi,-119.05,43.58
Urocitellus beldingi,-121.12354,41.76184
Urocitellus beldingi,-113.79,42.53
Urocitellus beldingi,-119.5276,45.3329
Urocitellus beldingi,-119.5567,45.3533
Urocitellus beldingi,-118.73,37.45
Urocitellus beldingi,-119.037669,38.232356
Urocitellus beldingi,-120.6947,42.2291
Urocitellus beldingi,-121.0572,43.4947
Urocitellus beldingi,-119.3694,44.8194
Urocitellus beldingi,-121.0625,43.3714
Urocitellus beldingi,-111.58405,40.61525
Urocitellus beldingi,-117.283333,45.426389
Urocitellus beldingi,-117.283333,45.433333
Urocitellus beldingi,-121.346917,40.360667
Urocitellus beldingi,-118.7543,41.6785
Urocitellus beldingi,-120.4941,44.4129
Urocitellus beldingi,-119.065834,37.794643
Urocitellus beldingi,-120.098081,38.906268
Urocitellus beldingi,-120.72571,40.55894
Urocitellus beldingi,-122.15363,41.65006
Urocitellus beldingi,-118.59486,37.24442
Urocitellus beldingi,-119.15025,38.01548
