presentAbsent,DRAINAGE_DENS,CV_TEMP
1,2.1931,1.79
1,1.9229,1.7862
1,2.2063,1.7593
1,2.2385,1.75
1,1.761,1.7402
1,1.8279,1.7386
1,1.8279,1.7386
1,1.8279,1.7386
1,1.9297,1.7332
1,1.8311,1.7393
1,1.8311,1.7393
1,1.8303,1.7221
1,2.1379,1.72
1,1.8957,1.7184
1,2.0247,1.74
1,1.7996,1.7165
1,2.1739,1.7074
1,2.2297,1.7
1,1.9982,1.73
1,1.9908,1.7283
1,1.9923,1.7274
1,1.9923,1.7274
1,2.1278,1.7
1,1.8607,1.7
1,2.0994,1.7
1,1.8727,1.6987
1,2.0855,1.6933
1,1.919,1.71
1,1.919,1.71
1,1.9267,1.7155
1,2.0849,1.69
1,1.9203,1.71
1,2.3387,1.69
1,1.8557,1.69
1,1.8904,1.702
1,1.8833,1.6881
1,2.0549,1.68
1,2.0419,1.6756
1,2.0401,1.676
1,1.9197,1.7
1,2.0373,1.67
1,2.0378,1.6693
1,2.0465,1.66
1,2.0458,1.66
1,2.0456,1.66
1,2.0456,1.66
1,2.0972,1.62
1,1.9988,1.62
1,2.1116,1.6206
1,2.1144,1.6239
1,2.1425,1.6289
1,2.1422,1.6204
1,2.1474,1.6256
1,2.0614,1.58
1,2.0463,1.56
1,2.0977,1.6076
1,2.1157,1.6022
1,2.1578,1.5971
1,2.1376,1.5843
1,2.0258,1.55
1,2.1924,1.58
1,2.0144,1.5574
1,2.0116,1.59
1,1.9211,1.58
1,1.9728,1.58
1,2.1202,1.58
1,1.9861,1.5773
1,1.9807,1.58
1,1.9704,1.55
1,2.0144,1.5353
1,1.9717,1.5796
1,0.8361,1.57
1,1.9784,1.5702
1,2.8379,1.58
1,1.8898,1.5796
1,1.9662,1.54
1,1.8794,1.5781
1,2.0007,1.52
1,2.0115,1.53
1,2.1577,1.56
1,1.9936,1.52
1,1.9934,1.54
1,1.9375,1.5574
1,2.0215,1.55
1,2.0614,1.5491
1,2.0063,1.52
1,2.0035,1.51
1,1.975,1.55
1,2.0684,1.54
1,2.338,1.54
1,1.9747,1.54
1,1.9249,1.5
1,1.9249,1.5
1,1.9781,1.495
1,1.9765,1.5419
1,2.1561,1.5256
1,1.9824,1.54
1,1.9897,1.4907
1,1.9011,1.5016
1,1.9675,1.488
1,2.0845,1.4831
1,1.9984,1.4801
1,1.9975,1.53
1,2.0973,1.51
1,1.9831,1.53
1,1.9812,1.53
1,1.6963,1.4829
1,1.9821,1.53
1,1.9983,1.5301
1,1.9006,1.5256
1,1.9729,1.48
1,1.9928,1.521
1,1.9888,1.4642
1,1.9888,1.4642
1,1.9797,1.4797
1,1.9472,1.46
1,1.9455,1.4535
1,1.9143,1.4892
1,1.9761,1.45
1,1.8904,1.4438
1,1.8557,1.4805
1,1.8557,1.4805
1,1.891,1.4613
1,1.9669,1.44
1,1.9815,1.44
1,1.9867,1.4903
1,0.3937,1.5065
1,2.0913,1.45
1,1.8698,1.44
1,2.0912,1.4373
1,1.8993,1.4252
1,2.8586,1.4223
1,1.9633,1.78
1,1.9633,1.78
1,2.1821,1.7482
1,1.925,1.59
1,1.9999,1.5002
1,1.9899,1.49
1,2.0498,1.45
1,1.9752,1.702
1,2.0372,1.6597
1,1.9889,1.5164
1,2.005,1.51
1,1.9129,1.8882
1,1.9048,1.8857
1,1.9048,1.8857
1,1.9035,1.8828
1,1.9073,1.8792
1,1.9044,1.878
1,1.9023,1.8797
1,1.8976,1.8738
1,1.9249,1.8545
1,1.8347,1.8492
1,1.9422,1.8597
1,1.9786,1.86
1,2.1713,1.87
1,1.8639,1.8626
1,2.061,1.86
1,1.9246,1.8478
1,2.0211,1.8472
1,2.0455,1.867
1,2.2059,1.8601
1,2.2019,1.86
1,2.001,1.8384
1,2.1155,1.8404
1,2.0248,1.84
1,1.9479,1.8295
1,1.9512,1.83
1,1.8224,1.83
1,2.1484,1.8576
1,2.2425,1.8422
1,2.1165,1.82
1,2.5699,1.8072
1,1.9252,1.8164
1,1.8232,1.8163
1,1.7344,1.8118
1,2.0098,1.8499
1,1.9625,1.8103
1,2.1318,1.84
1,2.0389,1.828
1,2.0167,1.8144
1,2.0026,1.8288
1,2.0026,1.8288
1,2.0824,1.81
1,2.1381,1.81
1,2.1461,1.7983
1,2.1306,1.7993
1,2.0727,1.7933
1,2.0727,1.7933
1,1.9781,1.8191
1,2.0011,1.8159
1,2.0011,1.8159
1,2.0025,1.81
1,2.0027,1.81
1,2.1122,1.7982
1,2.0674,1.8
1,2.0658,1.8
1,2.126,1.7987
1,1.9548,1.7793
1,2.0173,1.7894
1,2.0025,1.79
1,2.0025,1.79
1,2.0405,1.7799
1,2.0046,1.7491
1,1.9289,1.7716
1,1.9522,1.769
1,1.9807,1.7627
1,2.046,1.7753
