SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-120.097959,38.906174,1902,315,1138,40,60406,1920.275024,-911.325012,2831.600098,-374,1135,1136,-374,144477.2188,26544.77539,805.424988,79,75535.64844,4580.850098,4853,75536
Callospermophilus lateralis,-106.987222,38.869707,1902,144,1898,42,88145,2432,-2004.175049,4436.174805,1195,578,1254,-1011,53709.67188,5594.149902,2825.024902,20,15950.34961,11052.09961,13516,14964
Callospermophilus lateralis,-116.82771,34.10063,1905,150,1344,45,54852,1740.525024,-1211.375,2951.899902,-462,913,913,-485,146597.6719,28574.17578,415.75,85,82429.95313,4024.75,4025,75945
Callospermophilus lateralis,-116.82694,34.11972,1905,424,1556,49,58356,2130.875,-1021.025024,3151.899902,-210,1214,1214,-246,124055.6484,24985.72461,305.850006,84,69124.60156,4172.899902,4173,65506
Callospermophilus lateralis,-116.82944,34.17167,1905,927,1659,51,56092,2733.774902,-489.975006,3223.75,311,1665,1688,273,69166,14087,395.325012,82,38422.25,3447.300049,4814,36980
Callospermophilus lateralis,-116.96972,34.21944,1905,689,1586,49,58019,2441.274902,-757.924988,3199.199951,52,1466,1470,5,92341.35156,17955.40039,364.049988,82,51192.32813,4079.25,6270,48049
Callospermophilus lateralis,-116.84778,34.26083,1905,791,1700,50,59757,2644.399902,-747.525024,3391.924805,136,1596,1596,82,62842.35156,12449.125,364.274994,83,34798.89844,3850.824951,3851,33750
Callospermophilus lateralis,-116.81384,34.19895,1905,455,1417,47,55968,2013.775024,-950.049988,2963.824951,-153,1200,1226,-186,93428.32813,18162.40039,302.575012,83,51924.05078,3749.925049,5667,48886
Callospermophilus lateralis,-109.019732,39.557411,1908,523,1129,31,86740,2506.649902,-1085.475098,3592.125,-58,908,1688,-552,47310.125,4815.75,1768,21,13875.6748,9304.125,10826,12284
Callospermophilus lateralis,-118.58694,41.66889,1909,912,1719,41,80912,3261.399902,-867.099976,4128.5,-107,1922,1995,-107,18043.02539,2605.875,430.125,41,6977.850098,1960.449951,2458,6978
Callospermophilus lateralis,-118.70917,41.66,1909,257,1099,33,72805,2154.524902,-1097.025024,3251.549805,-489,1220,1235,-619,52171.55078,6491.024902,948.950012,49,19250.97461,3935.350098,5081,19032
Callospermophilus lateralis,-118.7,41.69,1909,215,1089,33,72160,2094.949951,-1127.150024,3222.100098,-527,1167,1181,-655,58008.875,7454.299805,815.049988,52,22111.59961,3781.875,4789,21935
Callospermophilus lateralis,-120.328223,41.799895,1910,524,1135,34,73094,2414.5,-915.974976,3330.475098,-375,1451,1521,-375,59566.42578,7386.675293,1193.650024,45,21642.94922,4983.049805,5924,21643
Callospermophilus lateralis,-120.344282,41.436398,1910,783,1511,41,72763,2908.925049,-761.325012,3670.25,-113,1736,1756,-113,43235.10156,5430.649902,872.724976,42,15098.6748,3884.574951,4896,15099
Callospermophilus lateralis,-120.290932,41.406951,1910,540,1334,37,73750,2550.100098,-1008.474976,3558.575195,-388,1492,1526,-388,63579.10156,8782.075195,916.325012,50,25354.67578,4204.424805,5621,25355
Callospermophilus lateralis,-120.213168,41.385233,1910,116,1325,40,66081,2044.400024,-1215.925049,3260.325195,-666,1005,1008,-666,105116.75,15675.8252,1147.025024,57,45381.07422,6066.350098,7648,45381
Callospermophilus lateralis,-120.166217,41.443991,1910,867,1496,40,75618,3019.399902,-711.200012,3730.599854,53,1853,1881,-68,39296.97656,5854.424805,579.299988,52,15757.94922,2977.100098,3533,15326
Callospermophilus lateralis,-120.307905,39.442862,1910,454,1519,45,61834,2365.350098,-957.224976,3322.575195,-240,1278,1278,-286,95996.29688,17803.19922,551.25,79,50243.14844,3215.824951,3216,49826
Callospermophilus lateralis,-120.310479,39.44296,1910,454,1519,45,61834,2365.350098,-957.224976,3322.575195,-240,1278,1278,-286,95996.29688,17803.19922,551.25,79,50243.14844,3215.824951,3216,49826
Callospermophilus lateralis,-118.271274,36.469312,1911,116,1312,43,57855,1747.375,-1284.574951,3031.949951,-543,898,912,-543,60042.60156,11879.7998,165.75,93,34040.17578,857.074951,917,34040
Callospermophilus lateralis,-122.941394,41.260975,1911,607,1024,36,62701,2259.274902,-534.825012,2794.099854,-134,1432,1472,-134,143729.7031,29179.39844,994.974976,79,76916.95313,5290.100098,6753,76917
Callospermophilus lateralis,-122.921195,41.279963,1911,563,960,35,61590,2129.074951,-576.824951,2705.899902,-125,1420,1420,-125,120989.8516,23455.32422,1058.800049,75,62138.39844,5848.350098,5848,62138
Callospermophilus lateralis,-122.905,41.2109,1911,564,976,36,60231,2164.149902,-508.450012,2672.599854,-140,1399,1399,-140,135353.7969,29555.52539,892.899963,80,69987,5092.100098,5092,69987
Callospermophilus lateralis,-123.1575,41.02861,1911,1084,1291,40,67365,2994.350098,-162.375,3156.725098,258,1965,1965,258,106050.2734,23139.40039,527.075012,81,55695.17578,3842.625,3843,55695
Callospermophilus lateralis,-122.963164,41.152682,1911,581,1090,37,62938,2236.375,-659.125,2895.5,-91,1409,1441,-156,179356.7031,47197.625,377.825012,94,105529.7969,6016.925293,6087,100046
Callospermophilus lateralis,-122.692089,41.342637,1911,951,1417,43,64562,2919.774902,-334.024994,3253.799805,166,1802,1814,166,89720.625,17914.02539,494.075012,76,45680.80078,3499.275146,3766,45681
Callospermophilus lateralis,-122.382059,41.227557,1911,812,1090,37,63482,2548.850098,-334.274994,2883.125,53,1647,1673,53,150295.8281,33278.44922,574.924988,84,82057.42188,4275.225098,5029,82057
Callospermophilus lateralis,-118.32024,36.81301,1912,689,1452,43,65869,2520.350098,-827.950012,3348.300049,-119,1318,1574,-119,28709.67383,5351.049805,906.674988,67,14422.72461,2817.149902,3452,14423
Callospermophilus lateralis,-118.07785,36.94248,1912,495,1717,47,64957,2426.725098,-1203.650024,3630.375,-238,581,1380,-283,31018.27539,4576.075195,969.950012,43,11895.65039,3901.274902,6583,10709
Callospermophilus lateralis,-116.10306,40.71389,1912,824,1967,44,82444,3332.524902,-1131.025024,4463.549805,762,1842,1918,-236,18912.42578,2287.324951,580.125,32,5962.5,2394.949951,2755,5790
Callospermophilus lateralis,-120.54691,39.305553,1913,774,1404,44,59735,2590.550049,-558.275024,3148.825195,103,1572,1572,63,164422.5938,32789.92578,313.524994,81,86449.10156,3127.050049,3127,85689
Callospermophilus lateralis,-120.547562,39.301873,1913,789,1275,42,59747,2511.675049,-480.224976,2991.899902,128,1596,1596,94,165936.6406,32798.69922,261.125,81,88248.89844,3223.074951,3223,86274
Callospermophilus lateralis,-122.852882,40.036534,1913,578,933,34,60297,2091.850098,-596.625,2688.475098,-124,1381,1386,-124,167197,35688.69922,248.974991,88,95826.77344,2472.475098,2556,95827
