SPECIES,LONG_WGS84,LAT_WGS84
Callospermophilus lateralis,-120.097959,38.906174
Callospermophilus lateralis,-106.987222,38.869707
Callospermophilus lateralis,-116.82771,34.10063
Callospermophilus lateralis,-116.82694,34.11972
Callospermophilus lateralis,-116.82944,34.17167
Callospermophilus lateralis,-116.96972,34.21944
Callospermophilus lateralis,-116.84778,34.26083
Callospermophilus lateralis,-116.81384,34.19895
Callospermophilus lateralis,-109.019732,39.557411
Callospermophilus lateralis,-118.58694,41.66889
Callospermophilus lateralis,-118.70917,41.66
Callospermophilus lateralis,-118.7,41.69
Callospermophilus lateralis,-120.328223,41.799895
Callospermophilus lateralis,-120.344282,41.436398
Callospermophilus lateralis,-120.290932,41.406951
Callospermophilus lateralis,-120.213168,41.385233
Callospermophilus lateralis,-120.166217,41.443991
Callospermophilus lateralis,-120.307905,39.442862
Callospermophilus lateralis,-120.310479,39.44296
Callospermophilus lateralis,-118.271274,36.469312
Callospermophilus lateralis,-122.941394,41.260975
Callospermophilus lateralis,-122.921195,41.279963
Callospermophilus lateralis,-122.905,41.2109
Callospermophilus lateralis,-123.1575,41.02861
Callospermophilus lateralis,-122.963164,41.152682
Callospermophilus lateralis,-122.692089,41.342637
Callospermophilus lateralis,-122.382059,41.227557
Callospermophilus lateralis,-118.32024,36.81301
Callospermophilus lateralis,-118.07785,36.94248
Callospermophilus lateralis,-116.10306,40.71389
Callospermophilus lateralis,-120.54691,39.305553
Callospermophilus lateralis,-120.547562,39.301873
Callospermophilus lateralis,-122.852882,40.036534
Callospermophilus lateralis,-117.81,46.1644
Callospermophilus lateralis,-119.43229,37.70453
Callospermophilus lateralis,-111.599,41.885
Callospermophilus lateralis,-111.65639,41.92333
Callospermophilus lateralis,-120.182338,39.32795
Callospermophilus lateralis,-119.0531,43.5864
Callospermophilus lateralis,-118.17054,37.338839
Callospermophilus lateralis,-118.2243,37.41036
Callospermophilus lateralis,-118.2352,37.40611
Callospermophilus lateralis,-118.17378,37.49611
Callospermophilus lateralis,-118.20534,37.41847
Callospermophilus lateralis,-118.22224,37.59175
Callospermophilus lateralis,-118.18594,37.57547
Callospermophilus lateralis,-118.099737,37.432159
Callospermophilus lateralis,-122.208795,41.796892
Callospermophilus lateralis,-120.947611,41.547354
Callospermophilus lateralis,-120.492018,40.63946
Callospermophilus lateralis,-120.634142,39.778817
Callospermophilus lateralis,-120.346803,39.575338
Callospermophilus lateralis,-118.705924,36.665773
Callospermophilus lateralis,-118.71453,36.658459
Callospermophilus lateralis,-116.83616,34.25224
Callospermophilus lateralis,-122.069104,41.577916
Callospermophilus lateralis,-119.82283,38.760829
Callospermophilus lateralis,-121.9947,42.7047
Callospermophilus lateralis,-118.844739,37.612916
Callospermophilus lateralis,-121.464222,40.112617
Callospermophilus lateralis,-111.66006,39.55518
Callospermophilus lateralis,-104.958895,38.849429
Callospermophilus lateralis,-104.85557,39.372204
Callospermophilus lateralis,-105.115008,37.549989
Callospermophilus lateralis,-106.13057,38.842207
Callospermophilus lateralis,-105.733896,40.432481
Callospermophilus lateralis,-120.267567,41.334976
Callospermophilus lateralis,-117.97139,46.32389
Callospermophilus lateralis,-123.015054,40.394887
Callospermophilus lateralis,-121.7828,44.1483
Callospermophilus lateralis,-117.785,46.1008
Callospermophilus lateralis,-105.213333,36.629166
Callospermophilus lateralis,-115.5,40.16
Callospermophilus lateralis,-115.69,36.27
Callospermophilus lateralis,-118.559479,37.179109
Callospermophilus lateralis,-118.8319,37.2231
Callospermophilus lateralis,-119.17447,37.140007
Callospermophilus lateralis,-119.14387,37.155913
Callospermophilus lateralis,-118.724947,37.180823
Callospermophilus lateralis,-118.871769,37.289572
Callospermophilus lateralis,-121.7717,44.1358
Callospermophilus lateralis,-109.52806,40.45556
Callospermophilus lateralis,-109.708,40.849
Callospermophilus lateralis,-109.85973,40.8745
Callospermophilus lateralis,-115.58,40.01
Callospermophilus lateralis,-115.59,40.34
Callospermophilus lateralis,-118.36028,38.28806
Callospermophilus lateralis,-116.976833,34.242281
Callospermophilus lateralis,-111.49722,40.64611
Callospermophilus lateralis,-120.37,39.32
Callospermophilus lateralis,-120.26,39.32
Callospermophilus lateralis,-118.84079,36.711143
Callospermophilus lateralis,-112.40139,38.29444
Callospermophilus lateralis,-111.70461,38.54863
Callospermophilus lateralis,-109.76515,40.87957
Callospermophilus lateralis,-114.9328,44.1097
Callospermophilus lateralis,-115.11,40.72
Callospermophilus lateralis,-115.07,40.77
Callospermophilus lateralis,-115.07,40.91
