SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-106.682625,38.450616,1970,335,1886,41,89283,2615.181152,-1881.925049,4497.106445,1392,-638,1457,-863,30413.97461,4688.106445,1725.006226,33,11509.8252,5994.112305,10173,6002
Callospermophilus lateralis,-118.7964,42.7835,1970,791,1359,39,72592,2835.993652,-609.631226,3445.625,624,1759,1774,-66,48817.27344,6261.587402,1227.71875,40,16439.98047,4891.393555,6439,15861
Callospermophilus lateralis,-118.7767,42.7835,1970,729,1335,39,70605,2755.78125,-632.612488,3388.393799,-93,1679,1687,-93,55967.49219,7285.212402,1237.349976,43,19304.21875,5014.112305,6828,19304
Callospermophilus lateralis,-105.45,36.59,1970,381,1441,41,71005,2230.6875,-1222.675049,3453.362549,1244,-505,1316,-505,68185.9375,8991.59375,3887.524902,27,22200.25586,13698.25586,21020,13698
Callospermophilus lateralis,-112.48288,37.43883,1971,766,1647,43,75458,2865.65625,-911.337524,3776.993652,-29,1079,1767,-164,42151.77344,4714.068848,1229.71875,29,13649.65625,5883.306152,8745,12517
Callospermophilus lateralis,-122.841982,39.734693,1971,879,931,34,62316,2405.800049,-265.787506,2671.587646,183,1713,1713,183,124176.8594,25546.90039,538.84375,85,67834.20313,2393.3125,2393,67834
Callospermophilus lateralis,-118.850219,37.600635,1971,638,1632,46,66548,2605.425049,-937.168762,3542.59375,-162,1538,1538,-162,52333.18359,9624.056641,1191.400024,72,27063.44922,3920.375,3920,27063
Callospermophilus lateralis,-122.17604,41.37069,1971,356,960,35,60248,1989.324951,-711.150024,2700.475098,-226,1204,1204,-287,177246.5313,30899.38086,664.943726,79,86622.79688,4231.287598,4231,83815
Callospermophilus lateralis,-120.253334,41.56209,1971,579,1387,39,71270,2609.050049,-874.825012,3483.875,-186,1517,1532,-278,74447.60938,9711.130859,905.368774,53,28073.05469,4489.268555,5440,26981
Callospermophilus lateralis,-120.241749,41.56987,1971,544,1334,39,70514,2548.981201,-846.212524,3395.193848,-204,1480,1490,-293,77307.21094,10135.59961,910.381226,53,29089.14844,4716.762207,5680,27982
Callospermophilus lateralis,-107.71,38.57,1971,702,1469,38,82161,2822.168701,-1005.181274,3827.350098,1334,-303,1805,-303,38548.86328,4381.487305,2051.15625,22,12565.32422,7840.538086,9584,7841
Callospermophilus lateralis,-119.89167,38.98556,1971,583,1197,39,64444,2370.274902,-624.787476,2995.0625,-157,1455,1455,-157,62280.85156,10870.625,850.28125,68,30541.78125,4463.287598,4463,30542
Callospermophilus lateralis,-105.035575,37.98749,1972,638,1517,42,71745,2551.475098,-1033.787476,3585.262695,1523,-243,1599,-243,66063.80469,9919.818359,3120.268555,38,22886.1875,9870.625,22185,9871
Callospermophilus lateralis,-112.57639,39.35222,1972,1018,1744,39,93510,3456.493652,-979.793762,4436.287598,978,2249,2249,-174,21247.61914,2621.649902,1176.293701,26,6759.850098,3917.9375,3918,4524
Callospermophilus lateralis,-107.09,39.67,1972,633,1594,39,85741,2821.981201,-1236.675049,4058.65625,689,-470,1738,-470,41613.83984,4154.600098,2724,14,11827.46289,9178.056641,9234,9178
Callospermophilus lateralis,-107.1,39.68,1972,681,1573,38,86359,2872.412598,-1223.462402,4095.875,621,1796,1796,-430,44709.54297,4521.200195,2961.706299,14,12553.17578,9676.525391,9677,9945
Callospermophilus lateralis,-105.49,39.93,1972,464,1416,40,71687,2420.893799,-1038.675049,3459.568848,308,-402,1432,-402,51714.61328,6954.581055,2015.649902,39,18123.95703,6537.056152,16316,6537
Callospermophilus lateralis,-105.55,40.05,1972,67,1279,38,72305,1933.300049,-1382.587524,3315.887695,-83,636,1041,-804,87421.99219,12335.96289,4512.793945,30,31542.22461,16651.40625,18108,20164
Callospermophilus lateralis,-105.56,40.07,1972,44,1261,38,72279,1891.918701,-1406.118774,3298.037598,-103,611,1016,-829,91316.125,12659.1748,4788.518555,29,32318.36328,17213.51172,18567,21848
Callospermophilus lateralis,-105.55,40.07,1972,28,1250,37,72820,1880.775024,-1416.425049,3297.200195,-122,597,1009,-848,88806.125,12427.09375,4795.65625,29,31630.91797,16875.8125,18424,20783
Callospermophilus lateralis,-105.53,40.07,1972,178,1284,38,71461,2064.925049,-1248.28125,3313.206299,34,746,1136,-684,80094.61719,10926.15625,4761.143555,27,28429.38672,15787.59961,17518,17889
Callospermophilus lateralis,-106.15,41.32,1972,359,1406,39,78654,2402.274902,-1194.868774,3597.143555,226,965,1410,-596,44606.04297,4795.024902,2877.543701,15,12941.88086,9656.03125,10871,10647
