SPECIES,LONG_WGS84,LAT_WGS84
Callospermophilus lateralis,-106.682625,38.450616
Callospermophilus lateralis,-118.7964,42.7835
Callospermophilus lateralis,-118.7767,42.7835
Callospermophilus lateralis,-105.45,36.59
Callospermophilus lateralis,-112.48288,37.43883
Callospermophilus lateralis,-122.841982,39.734693
Callospermophilus lateralis,-118.850219,37.600635
Callospermophilus lateralis,-122.17604,41.37069
Callospermophilus lateralis,-120.253334,41.56209
Callospermophilus lateralis,-120.241749,41.56987
Callospermophilus lateralis,-107.71,38.57
Callospermophilus lateralis,-119.89167,38.98556
Callospermophilus lateralis,-105.035575,37.98749
Callospermophilus lateralis,-112.57639,39.35222
Callospermophilus lateralis,-107.09,39.67
Callospermophilus lateralis,-107.1,39.68
Callospermophilus lateralis,-105.49,39.93
Callospermophilus lateralis,-105.55,40.05
Callospermophilus lateralis,-105.56,40.07
Callospermophilus lateralis,-105.55,40.07
Callospermophilus lateralis,-105.53,40.07
Callospermophilus lateralis,-106.15,41.32
Callospermophilus lateralis,-109.1425,33.8481
Callospermophilus lateralis,-122.935329,39.509686
Callospermophilus lateralis,-118.050102,37.44696
Callospermophilus lateralis,-108.73,40.76
Callospermophilus lateralis,-108.73,40.78
Callospermophilus lateralis,-108.73,40.79
Callospermophilus lateralis,-108.73,40.81
Callospermophilus lateralis,-108.95,41.77
Callospermophilus lateralis,-118.683456,37.549884
Callospermophilus lateralis,-119.5276,45.3329
Callospermophilus lateralis,-116.795649,34.227292
Callospermophilus lateralis,-116.97911,34.14433
Callospermophilus lateralis,-116.91318,34.291136
Callospermophilus lateralis,-111.63,41.89
Callospermophilus lateralis,-120.32,39.31
Callospermophilus lateralis,-120.30567,39.42114
Callospermophilus lateralis,-120.05328,39.55094
Callospermophilus lateralis,-119.911161,39.324319
Callospermophilus lateralis,-106.93,37.42
Callospermophilus lateralis,-106.71,37.55
Callospermophilus lateralis,-106.66,37.58
Callospermophilus lateralis,-112.83,37.61
Callospermophilus lateralis,-106.67,37.61
Callospermophilus lateralis,-110.4,40.93
Callospermophilus lateralis,-113.7,46.55
Callospermophilus lateralis,-118.73,37.45
Callospermophilus lateralis,-118.189438,37.333269
Callospermophilus lateralis,-118.171739,37.500212
Callospermophilus lateralis,-113.6293,46.5734
Callospermophilus lateralis,-113.7082,46.8054
Callospermophilus lateralis,-109.09,33.83
Callospermophilus lateralis,-116.96972,34.21944
Callospermophilus lateralis,-117.045605,34.226552
Callospermophilus lateralis,-117.048043,34.221276
Callospermophilus lateralis,-116.768193,34.136315
Callospermophilus lateralis,-116.952565,34.161644
Callospermophilus lateralis,-110.81,42.63
Callospermophilus lateralis,-120.258629,39.43414
Callospermophilus lateralis,-117.881297,46.0619
Callospermophilus lateralis,-115.67,36.3
Callospermophilus lateralis,-121.44,40.24
Callospermophilus lateralis,-118.72,44.12
Callospermophilus lateralis,-120.14,44.42
Callospermophilus lateralis,-120.22012,39.443956
Callospermophilus lateralis,-119.92533,39.30213
Callospermophilus lateralis,-119.809105,38.554416
Callospermophilus lateralis,-120.22386,39.43159
Callospermophilus lateralis,-120.21065,39.42134
Callospermophilus lateralis,-123.088903,39.51077
Callospermophilus lateralis,-113.3529,45.602
Callospermophilus lateralis,-113.3531,45.6311
Callospermophilus lateralis,-111.28,40.64306
Callospermophilus lateralis,-120.0281,39.5653
Callospermophilus lateralis,-120.189719,39.401672
Callospermophilus lateralis,-118.1742,45.4308
Callospermophilus lateralis,-118.1742,45.438
Callospermophilus lateralis,-117.48,45.76
Callospermophilus lateralis,-117.2792,45.8163
Callospermophilus lateralis,-120.04,41.96
Callospermophilus lateralis,-120.09,41.08
Callospermophilus lateralis,-119.92,41.46
Callospermophilus lateralis,-119.83,41.93
Callospermophilus lateralis,-117.956966,36.711485
Callospermophilus lateralis,-120.72,40.56
Callospermophilus lateralis,-116.942943,34.221713
Callospermophilus lateralis,-119.036484,38.18358
Callospermophilus lateralis,-118.982881,38.224424
Callospermophilus lateralis,-119.103365,38.263485
Callospermophilus lateralis,-119.076307,38.272332
Callospermophilus lateralis,-123.43,42.11
Callospermophilus lateralis,-121.6841,44.3996
Callospermophilus lateralis,-116.77823,34.17015
Callospermophilus lateralis,-116.81318,34.18466
Callospermophilus lateralis,-105.58,40.07
Callospermophilus lateralis,-115.92,41.39
Callospermophilus lateralis,-109.5014,33.9588
Callospermophilus lateralis,-109.4634,35.7001
Callospermophilus lateralis,-106.723343,35.883335
Callospermophilus lateralis,-105.41,40.19
Callospermophilus lateralis,-105.42,40.4
Callospermophilus lateralis,-109.332361,34.214444
Callospermophilus lateralis,-112.1176,36.4625
Callospermophilus lateralis,-120.180626,38.402671
Callospermophilus lateralis,-119.80982,38.54463
Callospermophilus lateralis,-116.78597,34.158636
Callospermophilus lateralis,-116.77998,34.20787
Callospermophilus lateralis,-107.033263,38.763084
Callospermophilus lateralis,-106.324777,38.576914
Callospermophilus lateralis,-116.13235,41.69629
Callospermophilus lateralis,-107.515972,38.412603
Callospermophilus lateralis,-107.529351,38.422568
Callospermophilus lateralis,-107.500863,38.443679
Callospermophilus lateralis,-107.269749,38.542711
Callospermophilus lateralis,-109.52806,40.45556
Callospermophilus lateralis,-111.2155,44.5716
Callospermophilus lateralis,-113.6627,46.5744
Callospermophilus lateralis,-107.23053,38.492383
Callospermophilus lateralis,-111.2358,44.5716
Callospermophilus lateralis,-111.42,42.46
Callospermophilus lateralis,-119.265487,38.469445
Callospermophilus lateralis,-111.6708,35.2265
Callospermophilus lateralis,-111.7503,35.3503
Callospermophilus lateralis,-106.752671,38.302025
Callospermophilus lateralis,-105.668327,35.759724
Callospermophilus lateralis,-120.851627,41.611897
Callospermophilus lateralis,-112.91341,37.59466
Callospermophilus lateralis,-113.41389,41.92111
Callospermophilus lateralis,-118.34,42.91
Callospermophilus lateralis,-109.34167,33.91667
Callospermophilus lateralis,-106.250267,36.124722
Callospermophilus lateralis,-112.1625,36.55139
Callospermophilus lateralis,-106.322777,36.884724
Callospermophilus lateralis,-112.40889,38.33083
Callospermophilus lateralis,-106.966667,38.516667
Callospermophilus lateralis,-110.5512,40.9261
Callospermophilus lateralis,-108.549454,33.507221
Callospermophilus lateralis,-108.664169,33.574165
Callospermophilus lateralis,-108.349583,34.35
Callospermophilus lateralis,-111.55417,40.60657
Callospermophilus lateralis,-120.725843,40.617287
Callospermophilus lateralis,-111.48944,39.12694
Callospermophilus lateralis,-111.13055,39.423611
Callospermophilus lateralis,-121.39,43.85
Callospermophilus lateralis,-121.37,43.85
Callospermophilus lateralis,-121.19,43.86
Callospermophilus lateralis,-121.57,44
Callospermophilus lateralis,-121.47,44
Callospermophilus lateralis,-109.364246,33.750887
Callospermophilus lateralis,-117.1394,45.6271
Callospermophilus lateralis,-111.67885,37.92409
Callospermophilus lateralis,-116.89664,34.302602
Callospermophilus lateralis,-116.92667,34.30722
Callospermophilus lateralis,-120.702926,40.418879
Callospermophilus lateralis,-122.23,43.26
Callospermophilus lateralis,-121.2,43.46
Callospermophilus lateralis,-121.04,43.53
Callospermophilus lateralis,-121.465312,40.515618
Callospermophilus lateralis,-114.32013,39.0023
Callospermophilus lateralis,-114.30167,39.01083
Callospermophilus lateralis,-116.96312,34.25095
Callospermophilus lateralis,-116.83742,34.22237
Callospermophilus lateralis,-118.27029,36.4785
Callospermophilus lateralis,-118.38546,36.77076
Callospermophilus lateralis,-119.69941,37.65271
Callospermophilus lateralis,-121.174367,40.741373
Callospermophilus lateralis,-121.178519,40.734076
Callospermophilus lateralis,-121.163996,40.720305
Callospermophilus lateralis,-121.136175,40.719374
Callospermophilus lateralis,-121.117465,40.755425
Callospermophilus lateralis,-121.136084,40.712353
Callospermophilus lateralis,-119.75385,37.774817
Callospermophilus lateralis,-120.215,39.4463
Callospermophilus lateralis,-121.124442,40.721452
