SPECIES,LONG_WGS84,LAT_WGS84,presAbs,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-119.710935,37.725765,Presence,-119.710935,37.725765,1101.1,1210,1569,46,63014,3097.550049,-270.7250061,3368.275146,511,2045,2060,454,95332.17188,20610.19922,231.7750092,89,54930.625,1330.549927,1552,52197
Microtus californicus,-120.14187,37.73845,Presence,-120.14187,37.73845,975.23,1258,1826,51,59390,3345.675049,-207.5,3553.175049,629,2055,2055,551,98453.95313,20347.57422,58.47499847,91,57375.52344,1240.550049,1241,54850
Microtus californicus,-119.7935365,37.673726,Presence,-119.7935365,37.673726,582.9975,1487,1627,46,68125,3519.375,-12.22500038,3531.600098,754,2398,2398,660,84690.20313,18017.02539,61.09999847,92,49692.47656,1103.325073,1103,47687
Microtus californicus,-120.469857,37.6661,Presence,-120.469857,37.6661,51.8407,1589,1549,46,62295,3535.274902,204.4499969,3330.824951,953,2401,2401,798,33500.35156,6543.650391,5.675000191,90,18896.19922,374.7000122,375,18284
Microtus californicus,-122.18016,40.37479,Presence,-122.18016,40.37479,102.999,1594,1535,44,65725,3638.274902,155.4750061,3482.799805,779,2468,2468,779,61791.05078,11709.875,140.1500092,75,31926.5,1703.325073,1703,31927
Microtus californicus,-121.5319,40.4147,Absence,-121.5319,40.4147,1971.325556,649,1319,43,58460,2441.800049,-613.8250122,3055.625,-21,1450,1450,-21,238546.6719,44791.5,520.7250366,78,123090.2813,6123.325195,6123,123090
Microtus californicus,-121.3023907,40.5642,Absence,-121.3023907,40.5642,1844.89,617,1538,44,63582,2619.100098,-803.2999878,3422.400146,-145,1471,1471,-145,80385.32813,13769.52441,556.7249756,68,38625.44922,3773.100098,3773,38625
Microtus californicus,-122.0695,40.3146,Presence,-122.0695,40.3146,207.9953784,1651,1446,42,67859,3651.699951,221.8500061,3429.849854,808,2544,2544,808,67709.875,12810.4248,155.9750061,76,35106.625,1707.199951,1707,35107
Microtus californicus,-120.7895831,40.6709426,Absence,-120.7895831,40.6709426,1564.39,737,1715,45,69309,2906.125,-895.6500244,3801.774902,-140,1617,1655,-140,46861.85156,8726.950195,446.5249939,71,23784.17578,2837.024902,2906,23784
Microtus californicus,-121.3938,40.44423,Absence,-121.3938,40.44423,1784.00125,651,1571,45,62965,2674.899902,-751.625,3426.524902,-124,1471,1477,-124,156514.5469,29530.77539,498.7250061,79,82610.39844,4293.450195,4854,82610
