SPECIES,LONG_WGS84,LAT_WGS84,presAbs,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-120.2637533,37.72381333,Presence,-120.2637533,37.72381333,556.9626667,1498,1536,46,62780,3406.024902,124.5999985,3281.424805,855,2329,2332,769,74570.96875,13946.50586,180.6687469,85,39635.78906,1076.993774,1460,39443
Microtus californicus,-120.22121,37.70881,Presence,-120.22121,37.70881,420.265,1572,1507,45,64574,3504.081299,201.0875092,3302.993896,916,2420,2420,808,66089.00781,12343.7998,116.4312515,85,35127.54297,924.9750366,925,34744
Microtus californicus,-119.88213,37.5790375,Presence,-119.88213,37.5790375,1128.855,1244,1520,47,60450,3110.5625,-68.33125305,3178.893799,553,2052,2055,553,103782.5156,20097.41211,199.9375,86,56071.74219,1681.849976,2026,56072
Microtus californicus,-119.42495,37.9117,Absence,-119.42495,37.9117,2432.872,411,1634,50,58002,2181.837402,-1082.493774,3264.331055,-267,1183,1183,-267,95139.79688,19056.47461,865.3250122,78,49705.97656,3650.0625,3650,49706
Microtus californicus,-119.48195,38.12200714,Absence,-119.48195,38.12200714,2883.601429,196,1402,45,59053,1866.143799,-1236.668701,3102.8125,-481,980,982,-481,144430.625,26500.56836,1556.775024,76,73272.17969,6213.725098,6314,73272
Microtus californicus,-121.531905,40.4122025,Absence,-121.531905,40.4122025,1989.95,591,1383,45,56646,2386.125,-633.2937622,3019.418701,-36,1373,1373,-36,223874.7188,40378.06641,1041.987549,74,109352.0938,7273.431152,7273,109352
Microtus californicus,-122.22687,40.09325,Presence,-122.22687,40.09325,92.3904,1698,1435,42,68214,3629.356201,288.7687378,3340.587402,865,2584,2584,865,62695.5625,11867.20605,300.9375,79,32526.4375,1963.568726,1964,32526
Microtus californicus,-122.072605,40.330645,Presence,-122.072605,40.330645,206.849,1674,1385,41,68203,3605.068848,285.6999817,3319.368896,853,2564,2564,853,75678.32813,13525.61328,476.9562378,74,37762.28125,2354.012451,2354,37762
Microtus californicus,-120.844295,40.59293,Absence,-120.844295,40.59293,1584.055,731,1712,45,68275,2895.693848,-829.8687744,3725.5625,-97,1647,1647,-97,68863.10938,14150.34375,855.7562256,75,36086.41406,3765.118652,3765,36086
Microtus californicus,-120.76727,40.525815,Absence,-120.76727,40.525815,1627.925,743,1593,43,69219,2852.149902,-789.3687744,3641.518555,-92,1668,1668,-92,67041.07031,13493.99414,642.2937622,77,36728.03906,3587.106201,3587,36728
Microtus californicus,-120.78612,40.66796,Absence,-120.78612,40.66796,1566.08,741,1696,45,68989,2909.887451,-831.1375122,3741.024902,-102,1665,1665,-102,49528.94922,8641.462891,548.3937378,69,24726.71289,3123.225098,3123,24727
Microtus californicus,-121.5139775,40.4697275,Absence,-121.5139775,40.4697275,2491.1625,358,1260,43,57724,2088.087402,-835.3687744,2923.456055,-285,1126,1149,-285,283221.9688,52950.61328,1203.737549,76,139855.2813,9287.96875,9399,139855
Microtus californicus,-122.18149,40.319965,Presence,-122.18149,40.319965,103.2525,1651,1484,44,66390,3610.387451,240.2312469,3370.15625,847,2522,2522,847,70675.57813,12877.22461,480.9125061,75,35496.25,2370.056152,2370,35496
Microtus californicus,-121.764275,40.31124,Presence,-121.764275,40.31124,1043.815,1276,1276,41,66052,3160.318848,49.78125,3110.537598,516,2150,2159,516,95091.90625,15153.91895,456.8250122,68,43512.82422,3818.431396,3955,43513
Microtus californicus,-121.2870167,40.5872,Absence,-121.2870167,40.5872,1782.846667,649,1522,45,64217,2625.243652,-740.7874756,3366.03125,-99,1513,1513,-99,77791.44531,12262.90625,945.3312988,63,34195.40625,4479.200195,4479,34195
Microtus californicus,-122.1922033,40.38927333,Presence,-122.1922033,40.38927333,110.9166667,1602,1524,44,65651,3587.856201,185.4187469,3402.4375,815,2467,2467,815,70463.08594,12642.53125,467.8187561,73,34888.51953,2348.493652,2348,34889
Microtus californicus,-122.21628,40.2026,Presence,-122.21628,40.2026,79.989,1702,1467,43,67680,3624.637451,284.9562378,3339.681152,870,2579,2579,870,66223.07031,12392.93164,251.5625,79,34181.64844,1816.175049,1816,34182
Microtus californicus,-121.875444,40.436528,Presence,-121.875444,40.436528,608.001,1524,1446,44,65617,3465.037598,194.96875,3270.068848,749,2374,2385,749,88237.14844,14164.39355,484.4312439,68,40503.21094,3541.006104,3695,40503
