SPECIES,LONG_WGS84,LAT_WGS84
Microtus californicus,-121.662415,38.07457
Microtus californicus,-118.394772,37.36537
Microtus californicus,-122.471588,38.543837
Microtus californicus,-122.44972,38.57656
Microtus californicus,-123.754003,39.230237
Microtus californicus,-121.342552,39.220304
Microtus californicus,-116.768193,34.136315
Microtus californicus,-117.044823,34.246896
Microtus californicus,-118.118492,34.329119
Microtus californicus,-122.175445,37.871842
Microtus californicus,-122.247468,37.900292
Microtus californicus,-118.53952,35.20901
Microtus californicus,-117.132773,34.225781
Microtus californicus,-117.045605,34.226552
Microtus californicus,-123.069375,38.318932
Microtus californicus,-123.812648,39.777373
Microtus californicus,-123.79391,39.829
Microtus californicus,-123.055227,41.78334
Microtus californicus,-122.831986,41.854826
Microtus californicus,-122.824838,41.861497
Microtus californicus,-120.965505,39.12643
Microtus californicus,-117.250962,33.38315
Microtus californicus,-122.254296,37.87235
Microtus californicus,-123.437259,38.701474
Microtus californicus,-122.95,39.44
Microtus californicus,-122.138593,37.917552
Microtus californicus,-120.31531,35.385682
Microtus californicus,-121.803876,36.740111
Microtus californicus,-123.491885,41.386924
Microtus californicus,-123.27987,40.69832
Microtus californicus,-123.53139,40.80611
Microtus californicus,-123.67841,40.84787
Microtus californicus,-123.36455,40.919559
Microtus californicus,-123.31657,40.71003
Microtus californicus,-123.33669,40.70553
Microtus californicus,-123.32604,40.70553
Microtus californicus,-123.324469,40.814303
Microtus californicus,-123.34143,40.70372
Microtus californicus,-123.30828,40.72534
Microtus californicus,-123.54611,40.86694
Microtus californicus,-123.29762,40.6695
Microtus californicus,-123.46469,41.41043
Microtus californicus,-123.28579,40.68661
Microtus californicus,-122.149993,37.91567
Microtus californicus,-122.361656,37.899957
Microtus californicus,-124.076878,40.876061
Microtus californicus,-120.365352,38.190426
Microtus californicus,-121.548402,36.376195
Microtus californicus,-122.376539,37.974528
Microtus californicus,-122.387879,37.953181
Microtus californicus,-121.55555,36.37581
Microtus californicus,-122.249394,38.077107
Microtus californicus,-122.166414,37.893754
Microtus californicus,-122.221484,37.862733
Microtus californicus,-118.2129,34.78823
Microtus californicus,-122.88699,38.11089
Microtus californicus,-123.41,43.12
Microtus californicus,-117.24115,32.66988
Microtus californicus,-122.786007,37.993609
Microtus californicus,-117.24764,32.68304
Microtus californicus,-117.10067,32.88952
Microtus californicus,-116.94785,32.72517
Microtus californicus,-117.10584,32.89439
Microtus californicus,-122.871496,38.030101
Microtus californicus,-122.901182,38.097869
Microtus californicus,-117.12426,32.56099
Microtus californicus,-122.4905,38.01273
Microtus californicus,-117.00255,32.55306
Microtus californicus,-117.12447,32.55989
Microtus californicus,-117.08856,32.89194
Microtus californicus,-117.29416,33.51864
Microtus californicus,-121.771199,37.813595
Microtus californicus,-121.560916,36.376454
Microtus californicus,-118.5716,34.71709
Microtus californicus,-121.55753,36.384743
Microtus californicus,-122.363431,38.009435
Microtus californicus,-121.7859,36.7943
Microtus californicus,-119.18658,34.95587
Microtus californicus,-117.36382,33.34365
Microtus californicus,-116.89984,34.26529
Microtus californicus,-116.93821,34.22394
Microtus californicus,-116.97127,34.21916
Microtus californicus,-116.95498,34.25733
Microtus californicus,-117.25724,33.80733
Microtus californicus,-117.68473,33.89249
Microtus californicus,-116.97534,32.66364
Microtus californicus,-117.79635,33.5971
Microtus californicus,-117.68778,33.87597
Microtus californicus,-118.02915,34.00011
Microtus californicus,-117.21509,32.93665
Microtus californicus,-117.17172,32.94038
Microtus californicus,-122.3551,38.9985
Microtus californicus,-121.9117,38.69
Microtus californicus,-121.95134,37.78306
Microtus californicus,-122.259266,37.872044
Microtus californicus,-117.80023,33.57157
Microtus californicus,-116.62514,33.10988
Microtus californicus,-116.71965,33.13186
Microtus californicus,-117.74935,33.57403
Microtus californicus,-116.70384,33.13572
Microtus californicus,-119.187383,34.540133
Microtus californicus,-119.1867,34.53975
Microtus californicus,-119.27105,34.513917
Microtus californicus,-116.62465,33.12153
Microtus californicus,-122.233404,37.88951
Microtus californicus,-122.460148,37.798371
Microtus californicus,-123.583109,40.890626
Microtus californicus,-120.06969,37.50331
Microtus californicus,-120.2416,37.7006
Microtus californicus,-117.42043,33.23688
Microtus californicus,-117.37262,33.34561
Microtus californicus,-118.99695,34.78537
Microtus californicus,-118.9953,34.79588
Microtus californicus,-121.822,38.2669
Microtus californicus,-122.330628,37.914658
Microtus californicus,-121.737,37.3816
Microtus californicus,-121.886564,37.760953
Microtus californicus,-119.88046,34.4153
Microtus californicus,-119.53625,34.39847
Microtus californicus,-120.02312,34.45831
Microtus californicus,-120.06716,34.46429
Microtus californicus,-116.61601,33.10836
Microtus californicus,-116.61425,33.11547
Microtus californicus,-116.64305,33.1212
Microtus californicus,-121.815942,37.504962
Microtus californicus,-122.595675,37.955039
Microtus californicus,-122.3563,37.9918
Microtus californicus,-118.31084,37.40482
Microtus californicus,-118.00818,37.41428
Microtus californicus,-121.8663,40.45431
Microtus californicus,-119.18153,34.91872
Microtus californicus,-119.1835,34.94862
Microtus californicus,-121.00674,38.91503
Microtus californicus,-120.83303,39.19779
Microtus californicus,-119.99339,35.06745
Microtus californicus,-119.96531,35.15376
Microtus californicus,-118.05676,36.54234
Microtus californicus,-118.08862,37.33035
Microtus californicus,-118.274041,35.680563
Microtus californicus,-118.33768,35.895787
Microtus californicus,-120.21384,34.47302
