SPECIES,LONG_WGS84,LAT_WGS84,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-122.381799,37.251624,-122.381799,37.251624,12,1266,1071,62,21769,2143.399902,438.825012,1704.574951,983,1514,1556,983,63963.64844,13076.25,126.025002,89,37256.94922,1128.699951,1574,37257
Microtus californicus,-121.89,36.6,-121.89,36.6,6,1300,1039,61,19961,2084.100098,402.174988,1681.925049,1022,1505,1549,1022,39863.27344,9058.575195,27.175001,94,23229.44922,497.149994,1093,23229
Microtus californicus,-118.034589,34.073972,-118.034589,34.073972,86,1764,1462,56,37757,3138.175049,571.674988,2566.5,1333,2228,2274,1293,41012.57422,9277.75,16.75,97,25156.72461,327.450012,848,24131
Microtus californicus,-122.14288,37.317955,-122.14288,37.317955,777,1360,836,40,40832,2562.149902,490.525024,2071.625,864,1849,1911,864,91712.47656,20538.34961,11.575001,97,55885.14844,1043.25,1286,55885
Microtus californicus,-118.89392,34.876003,-118.89392,34.876003,1001,1300,1727,50,56722,3299.875,-98.649994,3398.524902,692,2065,2065,622,32241.77539,6822.825195,88.324997,89,18672.57422,391.049988,391,17186
Microtus californicus,-118.137195,34.123961,-118.137195,34.123961,215,1704,1506,57,38601,3126.574951,485.950012,2640.625,1270,2183,2235,1231,50055.625,11151.97461,66.925003,96,30752.72461,485.375,1206,28905
Microtus californicus,-117.5285,33.3812,-117.5285,33.3812,321,1667,1323,57,34233,2967.224854,665.125,2302.099854,1278,2082,2148,1278,39748.125,8808.549805,75.949997,93,23172.42578,480.725006,998,23172
Microtus californicus,-116.81556,34.16861,-116.81556,34.16861,2030,907,1621,50,55470,2682.25,-517.150024,3199.399902,293,1646,1652,259,68832.875,13981.3252,298.5,83,37655.32422,3386.475098,4748,37162
Microtus californicus,-116.82944,34.17167,-116.82944,34.17167,1950,927,1659,51,56092,2733.774902,-489.975006,3223.75,311,1665,1688,273,69166,14087,395.325012,82,38422.25,3447.300049,4814,36980
Microtus californicus,-119.26,34.441,-119.26,34.441,229,1583,1828,60,40590,3230.824951,198.449997,3032.375,1132,2095,2147,1101,51826.44922,11901.55078,47.424999,103,33122.85156,361.75,1036,31841
Microtus californicus,-118.17819,34.17167,-118.17819,34.17167,316,1687,1469,56,38993,3128.399902,513.75,2614.649902,1254,2176,2230,1216,54979.05078,11765.375,66.275002,94,32988.94922,558.474976,1400,31048
Microtus californicus,-122.16799,37.431008,-122.16799,37.431008,29,1414,1265,57,34818,2609,395.575012,2213.425049,948,1827,1835,948,40303.72656,8850.974609,25.35,93,23774.40039,413.5,1054,23774
Microtus californicus,-121.90426,36.602688,-121.90426,36.602688,65,1342,1117,63,21126,2249.625,491.725006,1757.900024,1059,1556,1611,1059,45812.22656,10409.09961,46.875,93,26768.52344,613.375,1045,26769
