"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus californicus",-122.361633,38.250066,-122.361633,38.250066,38,1408,1403,57,39690,2742.800049,285.975006,2456.824951,880,1878,1894,880,64125,14019.77441,26.475,94,38438.92578,642.275024,1106,38439
"Microtus californicus",-121.086439,35.557241,-121.086439,35.557241,77,1325,1161,68,18652,2114.574951,408.525024,1706.049927,1076,1530,1561,1076,56857.82422,13609.59961,21.575001,100,35999.39844,395.850006,1444,35999
"Microtus californicus",-122.28,37.92,-122.28,37.92,188,1398,1033,49,36362,2534.975098,454.075012,2080.900146,903,1818,1838,903,59002.09766,12809.97461,23.049999,92,34041.32422,642.099976,1257,34041
"Microtus californicus",-122.16165,37.7424,-122.16165,37.7424,12,1388,873,54,26829,2187.100098,571.900024,1615.200073,1015,1675,1702,1015,48461.92578,9929.450195,57.074997,89,27634.07422,547.650024,1147,27634
"Microtus californicus",-118.12,36.55,-118.12,36.55,1578,1277,1457,42,68627,3216.5,-193,3409.5,424,1928,2187,424,19002.82422,4930.125,272.5,85,10625.65039,1499.225098,1613,10626
"Microtus californicus",-121.810728,39.228243,-121.810728,39.228243,271,1541,1499,44,61667,3554.024902,151.525009,3402.5,790,2365,2365,790,62524.125,12990.9502,18.1,89,35564.82422,879.375,879,35565
"Microtus californicus",-116.82944,34.17167,-116.82944,34.17167,1950,927,1659,51,56092,2733.774902,-489.975006,3223.75,311,1665,1688,273,69166,14087,395.325012,82,38422.25,3447.300049,4814,36980
"Microtus californicus",-122.212687,37.743969,-122.212687,37.743969,1,1399,836,54,25100,2144.5,605.075012,1539.425049,1047,1662,1691,1047,44152.57422,8997.924805,44.174999,89,25171.125,528.599976,1046,25171
"Microtus californicus",-121.79811,36.72202,-121.79811,36.72202,1,1286,1102,63,20179,2097.75,358.850006,1738.900024,1007,1493,1532,1007,36659.625,7990,55.700001,93,21235.44922,484.975006,953,21235
"Microtus californicus",-116.6,33.07,-116.6,33.07,1290,1356,1228,44,56800,2915.475098,140.725006,2774.75,745,2100,2139,685,84005.39844,15206.17578,695.674988,79,44841.60156,4301.100098,4897,42137
"Microtus longicaudus",-118.16195,36.198187,-118.16195,36.198187,2403,531,1529,46,58072,2355.649902,-926.275024,3281.924805,-157,1324,1324,-157,50036.625,11461.47461,307.199982,99,31648.39844,1258.024902,1258,31648
"Microtus longicaudus",-116.82944,34.17167,-116.82944,34.17167,1950,927,1659,51,56092,2733.774902,-489.975006,3223.75,311,1665,1688,273,69166,14087,395.325012,82,38422.25,3447.300049,4814,36980
"Microtus longicaudus",-106.79723,37.769988,-106.79723,37.769988,2633,289,2010,44,85510,2489.800049,-1990,4479.799805,1303,-690,1352,-869,39054.67578,6364.625,2022.074951,44,16329.7002,6260.774902,14891,6652
"Microtus longicaudus",-104.992225,38.815542,-104.992225,38.815542,3133,223,1301,41,68523,1929.550049,-1231.150024,3160.700195,1132,-463,1132,-605,61106.875,10771.65039,1335.050049,60,26515.92578,5379.75,26516,5538
"Microtus longicaudus",-117.3689,44.9822,-117.3689,44.9822,1204,677,1530,39,76295,2895.949951,-956.200012,3852.149902,-184,1632,1665,-315,79076.625,11895.72461,1565.175049,56,34075.10156,6029.725098,7359,33425
"Microtus longicaudus",-118.58694,41.66889,-118.58694,41.66889,1309,912,1719,41,80912,3261.399902,-867.099976,4128.5,-107,1922,1995,-107,18043.02539,2605.875,430.125,41,6977.850098,1960.449951,2458,6978
"Microtus longicaudus",-118.7,41.69,-118.7,41.69,2545,215,1089,33,72160,2094.949951,-1127.150024,3222.100098,-527,1167,1181,-655,58008.875,7454.299805,815.049988,52,22111.59961,3781.875,4789,21935
"Microtus longicaudus",-124.084529,40.785317,-124.084529,40.785317,2,1157,772,55,21695,1815.199951,430.850006,1384.349976,870,1413,1428,870,108522.625,19877.22461,371.524994,77,54513.22266,2963.925049,3361,54513
"Microtus longicaudus",-124.1433,41.0591,-124.1433,41.0591,47,1124,816,60,20392,1746.25,403.25,1343,906,1366,1379,854,134120.0781,24768.19922,395.950012,75,65986.14844,3901.149902,3982,65839
"Microtus longicaudus",-120.242976,41.460379,-120.242976,41.460379,2020,528,1336,37,73075,2562.875,-957.525024,3520.399902,-373,1474,1509,-373,67448.47656,8674.899414,983.900024,49,25408.80078,4322.200195,6067,25409
"Microtus longicaudus",-120.344282,41.436398,-120.344282,41.436398,1600,783,1511,41,72763,2908.925049,-761.325012,3670.25,-113,1736,1756,-113,43235.10156,5430.649902,872.724976,42,15098.6748,3884.574951,4896,15099
"Microtus longicaudus",-120.213168,41.385233,-120.213168,41.385233,2575,116,1325,40,66081,2044.400024,-1215.925049,3260.325195,-666,1005,1008,-666,105116.75,15675.8252,1147.025024,57,45381.07422,6066.350098,7648,45381
"Microtus longicaudus",-120.310479,39.44296,-120.310479,39.44296,2174,454,1519,45,61834,2365.350098,-957.224976,3322.575195,-240,1278,1278,-286,95996.29688,17803.19922,551.25,79,50243.14844,3215.824951,3216,49826
"Microtus longicaudus",-122.941394,41.260975,-122.941394,41.260975,1910,607,1024,36,62701,2259.274902,-534.825012,2794.099854,-134,1432,1472,-134,143729.7031,29179.39844,994.974976,79,76916.95313,5290.100098,6753,76917
"Microtus longicaudus",-122.905,41.2109,-122.905,41.2109,1984,564,976,36,60231,2164.149902,-508.450012,2672.599854,-140,1399,1399,-140,135353.7969,29555.52539,892.899963,80,69987,5092.100098,5092,69987
