"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus californicus",-121.95134,37.78306,-121.95134,37.78306,190,1520,1399,51,47340,3052.537598,348.78125,2703.756348,916,2083,2127,916,54769.61328,10438.71875,84.6875,89,30445.58203,543.275024,813,30446
"Microtus californicus",-117.61965,35.68189,-117.61965,35.68189,672,1829,1785,43,79971,3953.40625,-109,4062.40625,1046,2639,2883,838,11653.8125,2634.087402,85.706253,85,6736.96875,577.237488,1107,6369
"Microtus californicus",-122.901182,38.097869,-122.901182,38.097869,95,1393,1027,58,25958,2322.65625,569.556274,1753.099976,1029,1638,1683,1029,90986.24219,18091.00586,165.112503,90,51932.57031,1062.931274,1556,51933
"Microtus californicus",-118.118492,34.329119,-118.118492,34.329119,1057,1534,1310,44,58669,3252.256348,321.493744,2930.762695,926,2305,2331,853,65700.19531,17303.52539,99.506248,101,42083.66797,613.174988,1682,38094
"Microtus californicus",-122.175445,37.871842,-122.175445,37.871842,194,1390,1333,53,43500,2774.9375,272.899994,2502.037598,832,1903,1947,832,69409.14063,13261.2627,87.34375,90,38873.89453,753.90625,946,38874
"Microtus californicus",-121.7859,36.7943,-121.7859,36.7943,2,1339,920,59,19986,2019.393799,478.006256,1541.387573,1080,1554,1594,1080,43883.26172,8505.075195,156.037491,89,23918.23828,634.837463,913,23918
"Microtus californicus",-121.737,37.3816,-121.737,37.3816,568,1450,917,42,45867,2635.143799,496.649994,2138.493896,908,2013,2068,908,62315.99609,11476.05664,85.368752,85,32947.05469,768.625,1078,32947
"Microtus californicus",-122.460148,37.798371,-122.460148,37.798371,82,1405,764,55,21214,2096.056152,713.325012,1382.731201,1111,1600,1651,1111,57728.89453,11251.1748,77.65625,89,31712.13672,712.606262,3960,31712
"Microtus californicus",-117.25724,33.80733,-117.25724,33.80733,564,1761,1681,53,52882,3534.056152,381.287506,3152.768555,1206,2435,2489,1140,28556.03711,6937.962402,117.668747,95,17863.08203,673.893799,1459,15506
"Microtus californicus",-121.771199,37.813595,-121.771199,37.813595,516,1553,1048,39,55413,3103.012451,479.868744,2623.143799,903,2256,2314,903,58036.78906,12618.90625,57.087502,90,33125.89844,523.5625,841,33126
"Microtus canicaudus",-122.6056,45.3575,-122.6056,45.3575,69,1271,1088,41,54912,2833.274902,219.84375,2613.431152,632,1984,1988,601,114326.0078,19350.07422,1760.168701,60,53324.69531,8551.28125,8708,49221
