"SPECIES","LONG_WGS84","LAT_WGS84"
"Microtus californicus",-121.95134,37.78306
"Microtus californicus",-117.61965,35.68189
"Microtus californicus",-122.901182,38.097869
"Microtus californicus",-118.118492,34.329119
"Microtus californicus",-122.175445,37.871842
"Microtus californicus",-121.7859,36.7943
"Microtus californicus",-121.737,37.3816
"Microtus californicus",-122.460148,37.798371
"Microtus californicus",-117.25724,33.80733
"Microtus californicus",-121.771199,37.813595
"Microtus canicaudus",-122.6056,45.3575
"Microtus canicaudus",-123.32,44.4
"Microtus longicaudus",-118.3872,46.0494
"Microtus longicaudus",-106.38,34.79
"Microtus longicaudus",-105.45,36.59
"Microtus longicaudus",-108.42,45.16
"Microtus longicaudus",-108.46,45.17
"Microtus longicaudus",-108.42,45.17
"Microtus longicaudus",-108.46,45.19
"Microtus longicaudus",-108.54,45.2
"Microtus longicaudus",-108.55,45.21
"Microtus longicaudus",-118.9389,43.9272
"Microtus longicaudus",-110.66,42.61
"Microtus longicaudus",-112.83,37.61
"Microtus longicaudus",-107.02,37.25
"Microtus longicaudus",-106.67,37.61
"Microtus longicaudus",-117.785,46.1008
"Microtus longicaudus",-113.9595,46.8283
"Microtus longicaudus",-121.895,46.9244
"Microtus longicaudus",-109.8754,32.6666
"Microtus longicaudus",-107.08,39.02
"Microtus longicaudus",-120.258629,39.43414
"Microtus longicaudus",-118.455902,46.0411
"Microtus longicaudus",-118.173077,46.2706
"Microtus longicaudus",-121.5703,46.7311
"Microtus longicaudus",-121.9142,47.038428
"Microtus longicaudus",-108.51,47.92
"Microtus longicaudus",-106.89007,44.17453
"Microtus longicaudus",-106.325546,35.668335
"Microtus longicaudus",-122.4127,42.2655
"Microtus longicaudus",-120.189719,39.401672
"Microtus longicaudus",-116.9537,45.2579
"Microtus longicaudus",-118.822636,38.581127
"Microtus longicaudus",-118.97,41.5
"Microtus longicaudus",-119.67,42.54
"Microtus longicaudus",-114.7764,43.8936
"Microtus longicaudus",-114.8846,44.1462
"Microtus longicaudus",-106.989177,38.959157
"Microtus longicaudus",-119.89,39.16
"Microtus longicaudus",-105.45,36.17
"Microtus longicaudus",-119.165722,38.109578
"Microtus longicaudus",-119.183476,38.109579
"Microtus longicaudus",-119.183438,38.139122
"Microtus longicaudus",-119.076307,38.272332
"Microtus longicaudus",-121.2282,47.6988
"Microtus longicaudus",-105.55,40.21
